collection,unit,section,content_type,activity_type,topic,level,status,qa,word_count,summary,title
goethe-a1-sd1-exam-training-3,page-001,,[cover],cover,none,A1,verified,pass,21,Cover page for Goethe-Zertifikat A1 Start Deutsch 1 practice set.,A1
goethe-a1-sd1-exam-training-3,page-002,,[intro],none,none,A1,verified,pass,22,Publisher imprint and copyright details.,© Goethe-Institut e.V.
goethe-a1-sd1-exam-training-3,page-003,,"[cover, toc]",cover,none,A1,verified,pass,99,Title page and table of contents for the exam set.,Start Deutsch 1
goethe-a1-sd1-exam-training-3,page-004,,[],none,none,A1,verified,pass,3,Blank divider page with logo only.,Goethe-Institut
goethe-a1-sd1-exam-training-3,page-005,,[intro],instructions,none,A1,verified,pass,176,Foreword describing the A1 exam and its skill areas.,Start Deutsch 1
goethe-a1-sd1-exam-training-3,page-006,,[],none,none,A1,verified,pass,23,Blank page with logo only.,<!-- This page is intentionally blank. Only the Goethe-Institut logo (top right and bottom
goethe-a1-sd1-exam-training-3,page-007,hoeren,"[intro, instructions]",instructions,none,A1,verified,pass,61,Listening section intro and general test instructions.,Start Deutsch 1
goethe-a1-sd1-exam-training-3,page-008,hoeren,"[instructions, exercise]",multiple-choice,home,A1,verified,pass,69,Listening Part 1 instructions with worked example about room numbers.,Start Deutsch 1
goethe-a1-sd1-exam-training-3,page-009,hoeren,[exercise],listening-comprehension,hobby,A1,verified,pass,86,"Listening questions 1-3 on party location, meeting time, taxis.",Hören
goethe-a1-sd1-exam-training-3,page-010,hoeren,"[exercise, listening-sheet]",listening-comprehension,mixed,A1,verified,pass,126,"Listening questions 4-6 on courses, food to bring, return date.",Start Deutsch 1
goethe-a1-sd1-exam-training-3,page-011,hoeren,"[exercise, listening-sheet]",true-false,travel,A1,verified,pass,98,"Listening Part 2 true/false announcements, questions 7-10.",Hören
goethe-a1-sd1-exam-training-3,page-012,hoeren,[exercise],listening-comprehension,mixed,A1,verified,pass,88,"Listening Part 3 questions 11-13 on forms, meeting places, times.",Start Deutsch 1
goethe-a1-sd1-exam-training-3,page-013,hoeren,[exercise],listening-comprehension,communication,A1,verified,pass,74,Listening questions 14-15 on giving info and commuting to work.,Hören
goethe-a1-sd1-exam-training-3,page-014,,[],none,none,A1,verified,pass,27,Blank page with logo only.,<!-- This page is intentionally blank apart from the Goethe-Institut logo and the footer. 
goethe-a1-sd1-exam-training-3,page-015,lesen,"[intro, instructions]",instructions,none,A1,verified,pass,75,Reading and Writing section intro and instructions.,Start Deutsch 1
goethe-a1-sd1-exam-training-3,page-016,lesen,"[exercise, reading-text, instructions]",reading-comprehension,hobby,A1,verified,pass,144,Reading Part 1 true/false on a letter about a jazz concert.,Start Deutsch 1
goethe-a1-sd1-exam-training-3,page-017,lesen,"[reading-text, exercise]",reading-comprehension,profession,A1,verified,pass,119,"Reading true/false on an email about a work schedule, questions 3-5.",Lesen
goethe-a1-sd1-exam-training-3,page-018,lesen,"[instructions, exercise, reading-text]",matching,weather,A1,verified,pass,171,"Reading Part 2 matching ads, example weather plus question 6 venue.",Start Deutsch 1
goethe-a1-sd1-exam-training-3,page-019,lesen,"[exercise, reading-text]",matching,mixed,A1,verified,pass,164,"Reading Part 2 matching ads for computer repair and dancing, 7-8.",Lesen
goethe-a1-sd1-exam-training-3,page-020,lesen,[exercise],matching,mixed,A1,verified,pass,155,"Reading Part 2 matching ads for football and student jobs, 9-10.",Start Deutsch 1
goethe-a1-sd1-exam-training-3,page-021,lesen,"[instructions, reading-text, exercise]",reading-comprehension,shopping,A1,verified,pass,104,"Reading Part 3 true/false on signs, example plus flower shop, 11.",Lesen
goethe-a1-sd1-exam-training-3,page-022,lesen,"[exercise, reading-text]",reading-comprehension,mixed,A1,verified,pass,101,"Reading true/false on restaurant and tram notices, questions 12-13.",Start Deutsch 1
goethe-a1-sd1-exam-training-3,page-023,lesen,"[exercise, reading-text]",reading-comprehension,mixed,A1,verified,pass,92,"Reading true/false on apartment and station notices, questions 14-15.",Lesen
goethe-a1-sd1-exam-training-3,page-024,schreiben,"[instructions, exercise, writing-prompt]",fill-in,personal-info,A1,verified,pass,186,Writing Part 1 filling a patient form with five missing details.,Start Deutsch 1
goethe-a1-sd1-exam-training-3,page-025,schreiben,[writing-prompt],writing-task,communication,A1,verified,pass,72,Writing Part 2 prompt to email a colleague about a birthday party.,Schreiben
