collection,section,part,item,item_type,question,option_a,option_b,option_c,correct_answer,level,topic,source_page
cosmopolite-a1-methode,speaking,,1a,open-ended,Quels mots français vous connaissez ?,,,,,A1,communication,011
cosmopolite-a1-methode,speaking,,1b,matching,"Associez les langues aux dessins : l'anglais, l'allemand, l'espagnol, le français, le portugais, le polonais.",,,,,A1,communication,011
cosmopolite-a1-methode,speaking,,1c,open-ended,"Et dans votre langue, comment vous saluez au téléphone ?",,,,,A1,communication,011
cosmopolite-a1-methode,listening,,2,matching,Par deux. Écoutez. Associez les dialogues aux photos.,,,,,A1,personal-info,012
cosmopolite-a1-methode,speaking,À NOUS !,3,speaking-task,Nous faisons connaissance. En petits groupes. Dites bonjour et donnez votre prénom. Associez un geste à votre prénom. Demandez son prénom à un(e) étudiant(e). L'étudiant(e) dit bonjour et répète votre geste. Il/Elle associe un geste à son prénom.,,,,(open-ended),A1,personal-info,012
cosmopolite-a1-methode,listening,,1a,multiple-choice,Écoutez. Choisissez la réponse correcte. C'est…,une interview.,un dialogue.,une chanson.,,A1,communication,013
cosmopolite-a1-methode,listening,,1b,speaking-task,Réécoutez. Répétez l'alphabet.,,,,(open-ended),A1,communication,013
cosmopolite-a1-methode,listening,,2,matching,Par deux. Associez chaque lettre de l'alphabet à sa prononciation en français.,,,,,A1,communication,013
cosmopolite-a1-methode,listening,Sons du français,3a,speaking-task,Écoutez et répétez.,,,,(open-ended),A1,communication,014
cosmopolite-a1-methode,speaking,Sons du français,3b-1,matching,"En petits groupes. Associez un geste à chaque son voyelle : [a], [e], [ɛ], [i], [y], [o], [ə].",,,,,A1,communication,014
cosmopolite-a1-methode,speaking,Sons du français,3b-2,speaking-task,Présentez vos gestes à la classe.,,,,(open-ended),A1,communication,014
cosmopolite-a1-methode,speaking,,4,speaking-task,Nous présentons l'alphabet. En petits groupes. Imaginez une présentation originale de l'alphabet. Présentez votre alphabet à la classe.,,,,(open-ended),A1,communication,014
cosmopolite-a1-methode,reading,,5,short-answer,Lisez le forum. Répondez à la question de Viviana Jones.,,,,,A1,communication,014
cosmopolite-a1-methode,listening,,6a,short-answer,Comment elle s'appelle ?,,,,,A1,communication,014
cosmopolite-a1-methode,listening,,6b,short-answer,Comment ça s'écrit ?,,,,,A1,communication,014
cosmopolite-a1-methode,listening,,7,fill-in,Écoutez. Écrivez les prénoms.,,,,,A1,communication,014
cosmopolite-a1-methode,speaking,À NOUS !,8,speaking-task,Nous faisons notre première photo de classe. En petits groupes. Levez-vous. Demandez le prénom de votre voisin(e) de gauche et de votre voisin(e) de droite. Placez-vous par ordre alphabétique. Prenez une photo.,,,,(open-ended),A1,communication,014
cosmopolite-a1-methode,reading,,1,matching,Observez le classement. Associez. numéro un — l'Allemagne ; numéro deux — la Russie ; numéro trois — la Grande-Bretagne ; numéro quatre — les États-Unis ; numéro cinq — la Chine.,,,,numéro un = les États-Unis ; numéro deux = la Grande-Bretagne ; numéro trois = la Chine ; numéro quatre = la Russie ; numéro cinq = l'Allemagne (d'après le tableau de classement affiché sur la page),A1,travel,015
cosmopolite-a1-methode,grammar,,2,fill-in,"Par deux. Écoutez. Complétez avec le, la, l', les. 1. … États-Unis 2. … Grande-Bretagne 3. … Chine 4. … Russie 5. … Allemagne 6. … Japon 7. … France 8. … Corée du Sud 9. … Italie 10. … Australie 11. … Pays-Bas 12. … Hongrie 13. … Brésil 14. … Espagne 15. … Kenya 16. … Jamaïque 17. … Croatie 18. Ø Cuba 19. … Nouvelle-Zélande 20. … Canada",,,,1. les États-Unis 2. la Grande-Bretagne 3. la Chine 4. la Russie 5. l'Allemagne 6. le Japon 7. la France 8. la Corée du Sud 9. l'Italie 10. l'Australie 11. les Pays-Bas 12. la Hongrie 13. le Brésil 14. l'Espagne 15. le Kenya 16. la Jamaïque 17. la Croatie 18. Ø Cuba 19. la Nouvelle-Zélande 20. le Canada,A1,travel,015
cosmopolite-a1-methode,listening,,3,speaking-task,Réécoutez. Répétez le classement des pays de 1 à 10.,,,,(open-ended),A1,travel,015
cosmopolite-a1-methode,grammar,FOCUS LANGUE,genre-des-pays,fill-in,Observez. Complétez la règle. a. le Japon • le Brésil • le Liban • l'Iran. b. la Chine • la Hongrie • la Russie • l'Australie. c. les États-Unis • les Pays-Bas. Les noms de pays qui terminent par la lettre … sont féminins. Les noms de pays qui terminent par la lettre … sont pluriels.,,,,Les noms de pays qui terminent par la lettre e sont féminins ; les noms de pays qui terminent par la lettre s sont pluriels.,A1,travel,015
cosmopolite-a1-methode,grammar,,4,fill-in,Par deux. Observez les nombres en vert et en bleu. Complétez le tableau. Écoutez pour vérifier.,,,,21 vingt et un ; 32 trente-deux ; 37 trente-sept ; 41 quarante et un ; 44 quarante-quatre ; 49 quarante-neuf ; 53 cinquante-trois ; 56 cinquante-six ; 58 cinquante-huit ; 61 soixante et un ; 66 soixante-six,A1,travel,016
cosmopolite-a1-methode,listening,,5,short-answer,Par deux. Écoutez. Repérez dans le tableau le nombre entendu.,,,,,A1,travel,016
cosmopolite-a1-methode,speaking,À NOUS !,6,speaking-task,Nous comptons. En groupe. Chaque étudiant écrit un chiffre de 1 à 20 sur trois papiers différents. Le professeur écrit ou dit un nombre. Exemple : 26. Les étudiants forment un groupe pour totaliser 26. Ils disent « vingt-six ». Un(e) étudiant(e) écrit ou dit un nombre. L'activité continue.,,,,(open-ended),A1,travel,016
cosmopolite-a1-methode,grammar,FOCUS LANGUE,article-defini,fill-in,"Observez. Complétez avec le, la, l', les. Masculin singulier : … Brésil, … Liban. Féminin singulier : … Chine, … France. Pluriel : … États-Unis, … Pays-Bas. Devant une voyelle : … Iran, … Espagne.",,,,"le Brésil, le Liban ; la Chine, la France ; les États-Unis, les Pays-Bas ; l'Iran, l'Espagne",A1,travel,016
cosmopolite-a1-methode,reading,,1a,short-answer,En petits groupes. Observez le calendrier des cours. Repérez : 1. les quatre sessions de cours ; 2. les mois pour chaque session.,,,,"Automne (septembre, octobre, novembre) ; Hiver (décembre, janvier, février) ; Printemps (mars, avril, mai) ; Été (juin, juillet, août)",A1,time-dates,017
cosmopolite-a1-methode,grammar,,1b,fill-in,"Complétez avec les mois de l'année. 1. Le printemps : mars, … 2. L'été : juin, … 3. L'automne : septembre, … 4. L'hiver : décembre, …",,,,"Printemps : mars, avril, mai ; Été : juin, juillet, août ; Automne : septembre, octobre, novembre ; Hiver : décembre, janvier, février",A1,time-dates,017
cosmopolite-a1-methode,speaking,,1c,open-ended,Comparez avec les saisons de votre pays.,,,,,A1,time-dates,017
cosmopolite-a1-methode,listening,,2a,fill-in,Écoutez la chanson. Complétez les jours de la semaine. lun… • mar… • mer… • jeu… • ven… • same… • dim…,,,,"lundi, mardi, mercredi, jeudi, vendredi, samedi, dimanche",A1,time-dates,018
cosmopolite-a1-methode,writing,,2b,short-answer,"Écrivez la date : Aujourd'hui, c'est le…",,,,(open-ended),A1,time-dates,018
cosmopolite-a1-methode,speaking,,2c,open-ended,Comparez les jours de la semaine en français et dans votre langue.,,,,,A1,time-dates,018
cosmopolite-a1-methode,speaking,,3,open-ended,Par deux. Observez l'affiche. Qui parle : le professeur ou l'étudiante ? Faites des hypothèses.,,,,,A1,time-dates,018
cosmopolite-a1-methode,listening,,4,short-answer,Écoutez pour vérifier vos réponses.,,,,,A1,time-dates,018
cosmopolite-a1-methode,speaking,À NOUS !,5,speaking-task,"Nous communiquons en classe. En petits groupes. Choisissez deux phrases de l'affiche. Illustrez avec une photo, un dessin ou un mime. Présentez vos phrases à la classe. La classe trouve quelles phrases vous présentez.",,,,(open-ended),A1,time-dates,018
