collection,word,article,plural,word_class,example,topic,source_page
goethe-a1-fit1-vocabulary-list,(Schüler-)Band,die,s,noun,,hobby,006
goethe-a1-fit1-vocabulary-list,Angestellte,der,-n,noun,,profession,006
goethe-a1-fit1-vocabulary-list,Angestellte,die,-n,noun,,profession,006
goethe-a1-fit1-vocabulary-list,ankreuzen,,,verb,,school,006
goethe-a1-fit1-vocabulary-list,Antwortbogen,der,-,noun,,school,006
goethe-a1-fit1-vocabulary-list,Architekt,der,-en,noun,,profession,006
goethe-a1-fit1-vocabulary-list,Architektin,die,-nen,noun,,profession,006
goethe-a1-fit1-vocabulary-list,Arzt,der,Ärzte,noun,,profession,006
goethe-a1-fit1-vocabulary-list,Aufgabe,die,n,noun,,school,006
goethe-a1-fit1-vocabulary-list,Baby,das,-s,noun,,family,006
goethe-a1-fit1-vocabulary-list,Beispiel,das,-e,noun,,school,006
goethe-a1-fit1-vocabulary-list,Blog,der,-s,noun,,communication,006
goethe-a1-fit1-vocabulary-list,Bruder,der,ü-,noun,,family,006
goethe-a1-fit1-vocabulary-list,CD,die,-s,noun,,hobby,006
goethe-a1-fit1-vocabulary-list,CD-Player,der,-,noun,,hobby,006
goethe-a1-fit1-vocabulary-list,Chat(room),der,-s,noun,,communication,006
goethe-a1-fit1-vocabulary-list,chatten,,,verb,,communication,006
goethe-a1-fit1-vocabulary-list,Cola,die/das,-s,noun,,food,006
goethe-a1-fit1-vocabulary-list,Comic,der/das,-s,noun,,hobby,006
goethe-a1-fit1-vocabulary-list,Computer,der,-,noun,,communication,006
goethe-a1-fit1-vocabulary-list,cool,,,adjective,,none,006
goethe-a1-fit1-vocabulary-list,DVD,die,-s,noun,,hobby,006
goethe-a1-fit1-vocabulary-list,Eltern,,(Pl.),noun,,family,006
goethe-a1-fit1-vocabulary-list,erlaubt,,,adjective,,school,006
goethe-a1-fit1-vocabulary-list,falsch,,,adjective,,school,006
goethe-a1-fit1-vocabulary-list,Fax,das,-e,noun,,communication,006
goethe-a1-fit1-vocabulary-list,faxen,,,verb,,communication,006
goethe-a1-fit1-vocabulary-list,formulieren,,,verb,,school,006
goethe-a1-fit1-vocabulary-list,Geschwister,,(Pl.),noun,,family,006
goethe-a1-fit1-vocabulary-list,Gespräch,das,-e,noun,,communication,006
goethe-a1-fit1-vocabulary-list,googeln,,,verb,,communication,006
goethe-a1-fit1-vocabulary-list,Großeltern,,(Pl.),noun,,family,006
goethe-a1-fit1-vocabulary-list,Großmutter,die,ü-,noun,,family,006
goethe-a1-fit1-vocabulary-list,Großvater,der,ä-,noun,,family,006
goethe-a1-fit1-vocabulary-list,Hausfrau,die,-en,noun,,profession,006
