collection,unit,section,content_type,activity_type,topic,level,status,qa,word_count,summary,title
goethe-a1-fit1-exam-training-1,page-001,,[cover],cover,none,A1,verified,pass,22,Front cover of Goethe-Zertifikat A1 Fit in Deutsch 1 practice set.,A1
goethe-a1-fit1-exam-training-1,page-002,,[cover],cover,none,A1,verified,pass,8,Copyright and edition notice page.,überarbeitete Auflage von 2011
goethe-a1-fit1-exam-training-1,page-003,,[toc],instructions,none,A1,verified,pass,107,Table of contents for candidate and examiner sheets.,Fit in Deutsch · 1
goethe-a1-fit1-exam-training-1,page-004,,[],none,none,A1,verified,pass,2,Blank page.,Seite 2
goethe-a1-fit1-exam-training-1,page-005,,[intro],instructions,none,A1,verified,pass,166,Foreword describing the Fit in Deutsch 1 A1 exam.,Fit in Deutsch · 1
goethe-a1-fit1-exam-training-1,page-006,,[],none,none,A1,verified,pass,2,Blank page.,Seite 4
goethe-a1-fit1-exam-training-1,page-007,hoeren,"[intro, instructions]",instructions,none,A1,verified,pass,37,Listening section intro and general instructions.,Fit in Deutsch · 1
goethe-a1-fit1-exam-training-1,page-008,hoeren,"[instructions, exercise]",multiple-choice,communication,A1,verified,pass,63,Listening Part 1 instructions and worked example about phone messages.,Fit in Deutsch · 1
goethe-a1-fit1-exam-training-1,page-009,hoeren,"[instructions, exercise]",multiple-choice,communication,A1,verified,pass,91,Listening tasks 1-2 on a phone thank-you message and call-back.,Hören
goethe-a1-fit1-exam-training-1,page-010,hoeren,"[exercise, listening-sheet]",multiple-choice,school,A1,verified,pass,167,Listening tasks 3-4 about school subjects and where Karl is.,Fit in Deutsch · 1
goethe-a1-fit1-exam-training-1,page-011,hoeren,[exercise],multiple-choice,hobby,A1,verified,pass,70,Listening tasks 5-6 about going out and film start time.,Hören
goethe-a1-fit1-exam-training-1,page-012,hoeren,"[instructions, exercise, listening-sheet]",true-false,health,A1,verified,pass,108,Listening Part 2 true/false tasks 7-9 about illness.,Fit in Deutsch · 1
goethe-a1-fit1-exam-training-1,page-013,hoeren,"[exercise, listening-sheet, instructions]",true-false,hobby,A1,verified,pass,82,Listening true/false tasks 10-12 about studying and football.,Hören
goethe-a1-fit1-exam-training-1,page-014,,[],none,none,A1,verified,pass,2,Blank page.,Seite 12
goethe-a1-fit1-exam-training-1,page-015,lesen,"[intro, instructions]",instructions,none,A1,verified,pass,47,Reading section intro and instructions.,Fit in Deutsch · 1
goethe-a1-fit1-exam-training-1,page-016,lesen,"[exercise, reading-text]",reading-comprehension,travel,A1,verified,pass,186,Reading Part 1 two newspaper ads about train travel and study abroad.,Fit in Deutsch · 1
goethe-a1-fit1-exam-training-1,page-017,lesen,"[instructions, exercise]",multiple-choice,travel,A1,verified,pass,173,Reading tasks 1-6 multiple-choice on the two advertisements.,Lesen
goethe-a1-fit1-exam-training-1,page-018,lesen,"[reading-text, exercise]",reading-comprehension,family,A1,verified,pass,178,Reading Part 2 two teenager self-descriptions about family and home.,Fit in Deutsch · 1
goethe-a1-fit1-exam-training-1,page-019,lesen,[exercise],true-false,family,A1,verified,pass,108,Reading true/false tasks 7-12 on the teenager descriptions.,Lesen
goethe-a1-fit1-exam-training-1,page-020,,[],none,none,A1,verified,pass,2,Blank page.,Seite 18
goethe-a1-fit1-exam-training-1,page-021,schreiben,[instructions],instructions,none,A1,verified,pass,44,Writing section intro and instructions.,Fit in Deutsch · 1
goethe-a1-fit1-exam-training-1,page-022,schreiben,[writing-prompt],writing-task,communication,A1,verified,pass,89,"Writing prompt: reply to Natascha's pen-pal email, at least 30 words.",Fit in Deutsch · 1
goethe-a1-fit1-exam-training-1,page-023,sprechen,"[intro, instructions]",instructions,none,A1,verified,pass,30,Speaking section intro and instructions.,Fit in Deutsch · 1
goethe-a1-fit1-exam-training-1,page-024,,[],none,none,A1,verified,pass,2,Blank page.,Seite 22
