collection,section,part,item,item_type,question,option_a,option_b,option_c,correct_answer,level,topic,source_page
netzwerk-a1-kursbuch,vocabulary,1a,1,matching,бутерброд (Russisch),,,,F,A1,mixed,008
netzwerk-a1-kursbuch,vocabulary,1a,2,matching,クランケ (Japanisch),,,,G,A1,mixed,008
netzwerk-a1-kursbuch,vocabulary,1a,3,matching,otoban (Türkisch),,,,H,A1,mixed,008
netzwerk-a1-kursbuch,vocabulary,1a,4,matching,handuk (Indonesisch),,,,A,A1,mixed,008
netzwerk-a1-kursbuch,vocabulary,1a,5,matching,wurstel (Italienisch),,,,D,A1,mixed,008
netzwerk-a1-kursbuch,vocabulary,1a,6,matching,nudli (Ungarisch),,,,I,A1,mixed,008
netzwerk-a1-kursbuch,vocabulary,1a,7,matching,kindergarten (Englisch),,,,E,A1,mixed,008
netzwerk-a1-kursbuch,vocabulary,1a,8,matching,куфар (Bulgarisch),,,,C,A1,mixed,008
netzwerk-a1-kursbuch,vocabulary,1a,9,matching,flaša (Serbisch),,,,B,A1,mixed,008
netzwerk-a1-kursbuch,speaking,,1b,open-ended,Wie heißen die Wörter in Ihrer Sprache?,,,,(open-ended),A1,mixed,009
netzwerk-a1-kursbuch,speaking,,1c,open-ended,Kennen Sie andere deutsche Wörter? Sammeln Sie und machen Sie ein Kursplakat.,,,,(open-ended),A1,mixed,009
netzwerk-a1-kursbuch,listening,,2a,short-answer,Hallo! Wer bist du? Hören Sie und lesen Sie. Wie heißen die Personen?,,,,"Nina, Niklas, Julia",A1,personal-info,010
netzwerk-a1-kursbuch,speaking,,2b,speaking-task,Hallo und tschüs. Spielen Sie die Situationen.,,,,(open-ended),A1,personal-info,010
netzwerk-a1-kursbuch,speaking,,2c,speaking-task,Kennen Sie deutsche Namen oder bekannte deutsche Personen? Sammeln Sie.,,,,(open-ended),A1,personal-info,010
netzwerk-a1-kursbuch,listening,,3a,short-answer,Guten Tag. Wie heißen Sie? Hören Sie und lesen Sie. Wie heißen die Personen?,,,,"Nina Weber, Oliver Hansen, Frau Kowalski",A1,personal-info,011
netzwerk-a1-kursbuch,speaking,,3b,speaking-task,Guten Tag. Auf Wiedersehen. Spielen Sie die Situationen.,,,,(open-ended),A1,personal-info,011
