collection,section,part,item,item_type,question,option_a,option_b,option_c,correct_answer,level,topic,source_page
goethe-a1-sd1-exam-training-1,listening,1,1,multiple-choice,Was kostet der Pullover?,Dreißig Euro.,Fünfundneunzig Euro.,Neunzehn Euro fünfundneunzig Cent.,c,A1,shopping,009
goethe-a1-sd1-exam-training-1,listening,1,2,multiple-choice,Wie spät ist es?,15 Uhr.,Gleich 5 Uhr.,Halb 5 Uhr.,b,A1,time-dates,009
goethe-a1-sd1-exam-training-1,listening,1,3,multiple-choice,Was isst die Frau im Restaurant?,Pommes.,Fisch.,Wurst.,a,A1,restaurant,009
goethe-a1-sd1-exam-training-1,listening,1,4,multiple-choice,In welche Klasse geht Frau Hegers Sohn?,In die neunte Klasse.,In die dritte Klasse.,In die vierte Klasse.,b,A1,school,010
goethe-a1-sd1-exam-training-1,listening,1,5,multiple-choice,Wie kommt die Frau in den 2. Stock?,Mit dem Aufzug.,Auf der Treppe um die Ecke.,Mit der Rolltreppe.,a,A1,city-places,010
goethe-a1-sd1-exam-training-1,listening,1,6,multiple-choice,Wohin fährt Herr Albers?,In Urlaub ans Meer.,Zur Arbeit.,Zur Familie.,c,A1,mixed,010
goethe-a1-sd1-exam-training-1,listening,2,7,true-false,Die Kunden sollen die Weihnachtsfeier besuchen.,Richtig,Falsch,,Falsch,A1,shopping,011
goethe-a1-sd1-exam-training-1,listening,2,8,true-false,Die Fahrgäste sollen sich im Restaurant treffen.,Richtig,Falsch,,Falsch,A1,travel,011
goethe-a1-sd1-exam-training-1,listening,2,9,true-false,Die Fahrgäste sollen im Zug bleiben.,Richtig,Falsch,,Richtig,A1,travel,011
goethe-a1-sd1-exam-training-1,listening,2,10,true-false,Der Herr soll sofort zum Schalter kommen.,Richtig,Falsch,,Richtig,A1,travel,011
goethe-a1-sd1-exam-training-1,listening,3,11,multiple-choice,Die Nummer ist:,11833.,11883.,12833.,a,A1,communication,012
goethe-a1-sd1-exam-training-1,listening,3,12,multiple-choice,Wo genau treffen sich die Männer?,Am Zug.,Am Bahnhof.,An der Information.,c,A1,travel,012
goethe-a1-sd1-exam-training-1,listening,3,13,multiple-choice,Wie lange will der Mann noch warten?,20 Minuten.,2 Minuten.,10 Minuten.,c,A1,communication,012
goethe-a1-sd1-exam-training-1,listening,3,14,multiple-choice,An welchem Tag will die Frau kommen?,Am Montag.,Am Sonntag.,Am Samstag.,b,A1,time-dates,013
goethe-a1-sd1-exam-training-1,listening,3,15,multiple-choice,Was ist kaputt?,Der Fernseher.,Der Computer.,Das Handy.,b,A1,communication,013
goethe-a1-sd1-exam-training-1,reading,1,1,true-false,Lis Zug kommt nach halb eins an.,Richtig,Falsch,,Richtig,A1,travel,016
goethe-a1-sd1-exam-training-1,reading,1,2,true-false,Karin wartet den ganzen Vormittag vor der Auskunft.,Richtig,Falsch,,Falsch,A1,travel,016
goethe-a1-sd1-exam-training-1,reading,1,3,true-false,Ralf hatte am letzten Wochenende Geburtstag.,Richtig,Falsch,,Falsch,A1,hobby,017
goethe-a1-sd1-exam-training-1,reading,1,4,true-false,Ralf hat nur zwei oder drei Leute eingeladen.,Richtig,Falsch,,Falsch,A1,hobby,017
goethe-a1-sd1-exam-training-1,reading,1,5,true-false,Die Party findet draußen statt.,Richtig,Falsch,,Richtig,A1,hobby,017
goethe-a1-sd1-exam-training-1,reading,2,6,multiple-choice,Sie möchten mit dem Schiff auf dem Rhein fahren.,www.schiff-ruedesheim.de,www.bingen-ruedesheimer.de,,b,A1,travel,018
goethe-a1-sd1-exam-training-1,reading,2,7,multiple-choice,Sie möchten Deutsch in Deutschland lernen.,www.sprachenfuchs.de,www.eviva.com,,a,A1,school,019
goethe-a1-sd1-exam-training-1,reading,2,8,multiple-choice,Sie möchten ein Zugticket im Internet kaufen.,www.DER.com,www.RED.com,,a,A1,travel,019
goethe-a1-sd1-exam-training-1,reading,2,9,multiple-choice,Sie möchten Informationen über den Bodensee.,www.bodensee.de,www.rottenmeier.de,,a,A1,travel,020
goethe-a1-sd1-exam-training-1,reading,2,10,multiple-choice,Sie sind in Wiesbaden und möchten mit dem Zug am Mittag in Hamburg sein.,"www.reiseauskunft.bahn.de — ab Hamburg 17.02. 12.18, an Wiesbaden 17.02. 16.52 (Dauer 4:34, 1x Umsteigen, ICE, S)","www.reiseauskunft.bahn.de — ab Wiesbaden 17.02. 08.09, an Hamburg 17.02. 12.40 (Dauer 4:31, 1x Umsteigen, S, ICE)",,b,A1,travel,020
goethe-a1-sd1-exam-training-1,reading,3,11,true-false,In der Sprachschule können Sie etwas zu essen kaufen.,Richtig,Falsch,,Richtig,A1,food,021
goethe-a1-sd1-exam-training-1,reading,3,12,true-false,Es ist Samstagnachmittag. Sie können auf der Post Briefmarken kaufen.,Richtig,Falsch,,Falsch,A1,city-places,022
goethe-a1-sd1-exam-training-1,reading,3,13,true-false,Sie können hier Zigaretten rauchen.,Richtig,Falsch,,Falsch,A1,city-places,022
goethe-a1-sd1-exam-training-1,reading,3,14,true-false,Heute Abend können Sie in diesem Restaurant tanzen.,Richtig,Falsch,,Richtig,A1,restaurant,023
goethe-a1-sd1-exam-training-1,reading,3,15,true-false,Von 23 Uhr bis 1 Uhr fährt kein Bus.,Richtig,Falsch,,Richtig,A1,travel,023
goethe-a1-sd1-exam-training-1,writing,1,1,fill-in,Anzahl der Personen: (im Formular BODENSEE-RUNDFAHRT / Anmeldung ergänzen),,,,4,A1,travel,024
goethe-a1-sd1-exam-training-1,writing,1,2,fill-in,Davon Kinder: (im Formular BODENSEE-RUNDFAHRT / Anmeldung ergänzen),,,,2,A1,travel,024
goethe-a1-sd1-exam-training-1,writing,1,3,fill-in,"PLZ, Urlaubsort: 78014 ______ (im Formular BODENSEE-RUNDFAHRT / Anmeldung ergänzen)",,,,Seeheim,A1,travel,024
goethe-a1-sd1-exam-training-1,writing,1,4,fill-in,Zahlungsweise: (im Formular BODENSEE-RUNDFAHRT / Anmeldung ankreuzen: Bar oder Kreditkarte),,,,bar,A1,travel,024
goethe-a1-sd1-exam-training-1,writing,1,5,fill-in,Reisetermin: (im Formular BODENSEE-RUNDFAHRT / Anmeldung ergänzen),,,,Datum (vom nächsten Sonntag) / Sonntag / nächsten Sonntag,A1,travel,024
goethe-a1-sd1-exam-training-1,writing,2,1,open-ended,"Sie möchten im August Dresden besuchen. Schreiben Sie an die Touristeninformation: Warum schreiben Sie? Bitten Sie: Informationen über Filme, Museen usw. (Kulturprogramm). Fragen Sie: Hoteladressen? Schreiben Sie zu jedem Punkt ein bis zwei Sätze auf den Antwortbogen (circa 30 Wörter). Schreiben Sie auch eine Anrede und einen Gruß.",,,,(open-ended),A1,travel,025
goethe-a1-sd1-exam-training-1,speaking,1,1,open-ended,Sich vorstellen. Name? Alter? Land? Wohnort? Sprachen? Beruf? Hobby?,,,,(open-ended),A1,personal-info,028
goethe-a1-sd1-exam-training-1,speaking,2,Frühstück,open-ended,Um Informationen bitten und Informationen geben. Thema: Essen & Trinken — Frühstück,,,,(open-ended),A1,food,029
goethe-a1-sd1-exam-training-1,speaking,2,Lieblings-essen,open-ended,Um Informationen bitten und Informationen geben. Thema: Essen & Trinken — Lieblings-essen,,,,(open-ended),A1,food,029
goethe-a1-sd1-exam-training-1,speaking,2,Sonntag,open-ended,Um Informationen bitten und Informationen geben. Thema: Essen & Trinken — Sonntag,,,,(open-ended),A1,food,029
