collection,word,article,plural,word_class,example,topic,source_page
goethe-a1-sd1-vocabulary-list,(ein)hundert,,,other,100 = (ein)hundert,none,006
goethe-a1-sd1-vocabulary-list,(ein)tausend,,,other,1.000 = (ein)tausend,none,006
goethe-a1-sd1-vocabulary-list,acht,,,other,8 = acht,none,006
goethe-a1-sd1-vocabulary-list,achtzehn,,,other,18 = achtzehn,none,006
goethe-a1-sd1-vocabulary-list,achtzig,,,other,80 = achtzig,none,006
goethe-a1-sd1-vocabulary-list,"Berlin, 12. April 2002",,,phrase,"Berlin, 12. April 2002 = Berlin, zwölfter Vierter zweitausendzwei",time-dates,006
goethe-a1-sd1-vocabulary-list,drei,,,other,3 = drei,none,006
goethe-a1-sd1-vocabulary-list,dreizehn,,,other,13 = dreizehn,none,006
goethe-a1-sd1-vocabulary-list,dreißig,,,other,30 = dreißig,none,006
goethe-a1-sd1-vocabulary-list,dritte,,,other,dritte,none,006
goethe-a1-sd1-vocabulary-list,eins,,,other,1 = eins,none,006
goethe-a1-sd1-vocabulary-list,einundzwanzig,,,other,21 = einundzwanzig,none,006
goethe-a1-sd1-vocabulary-list,elf,,,other,11 = elf,none,006
goethe-a1-sd1-vocabulary-list,erste,das/der/die,,other,das/der/die erste,none,006
goethe-a1-sd1-vocabulary-list,fünf,,,other,5 = fünf,none,006
goethe-a1-sd1-vocabulary-list,fünfzehn,,,other,15 = fünfzehn,none,006
goethe-a1-sd1-vocabulary-list,fünfzig,,,other,50 = fünfzig,none,006
goethe-a1-sd1-vocabulary-list,halb,,,other,1/2 = ein halb; halb …,time-dates,006
goethe-a1-sd1-vocabulary-list,heute ist der 1. März,,,phrase,heute ist der 1. März = heute ist der erste März/der erste Dritte,time-dates,006
goethe-a1-sd1-vocabulary-list,hunderteins,,,other,101 = hunderteins,none,006
goethe-a1-sd1-vocabulary-list,Milliarde,die,=en,noun,"1.000.000.000 = eine Milliarde, =en",none,006
goethe-a1-sd1-vocabulary-list,Million,die,=en,noun,"1.000.000 = eine Million, =en",none,006
goethe-a1-sd1-vocabulary-list,neun,,,other,9 = neun,none,006
goethe-a1-sd1-vocabulary-list,neunzehn,,,other,19 = neunzehn,none,006
goethe-a1-sd1-vocabulary-list,neunzehnhundertneunundneunzig,,,other,1999 = neunzehnhundertneunundneunzig,time-dates,006
goethe-a1-sd1-vocabulary-list,neunzig,,,other,90 = neunzig,none,006
goethe-a1-sd1-vocabulary-list,sechs,,,other,6 = sechs,none,006
goethe-a1-sd1-vocabulary-list,sechzehn,,,other,16 = sechzehn,none,006
goethe-a1-sd1-vocabulary-list,sechzig,,,other,60 = sechzig,none,006
goethe-a1-sd1-vocabulary-list,sieben,,,other,7 = sieben,none,006
goethe-a1-sd1-vocabulary-list,siebzehn,,,other,17 = siebzehn,none,006
goethe-a1-sd1-vocabulary-list,siebzig,,,other,70 = siebzig,none,006
goethe-a1-sd1-vocabulary-list,vier,,,other,4 = vier,none,006
goethe-a1-sd1-vocabulary-list,vierte,,,other,vierte,none,006
goethe-a1-sd1-vocabulary-list,Viertel,,,noun,1/4 = ein Viertel; Viertel …,time-dates,006
goethe-a1-sd1-vocabulary-list,vierzehn,,,other,14 = vierzehn,none,006
goethe-a1-sd1-vocabulary-list,vierzig,,,other,40 = vierzig,none,006
goethe-a1-sd1-vocabulary-list,zehn,,,other,10 = zehn,none,006
goethe-a1-sd1-vocabulary-list,zwanzig,,,other,20 = zwanzig,none,006
goethe-a1-sd1-vocabulary-list,zwei,,,other,2 = zwei,none,006
goethe-a1-sd1-vocabulary-list,zweihundert,,,other,200 = zweihundert,none,006
goethe-a1-sd1-vocabulary-list,zweitausendvierzehn,,,other,2014 = zweitausendvierzehn,time-dates,006
goethe-a1-sd1-vocabulary-list,zweite,,,other,zweite,none,006
goethe-a1-sd1-vocabulary-list,zwölf,,,other,12 = zwölf,none,006
goethe-a1-sd1-vocabulary-list,Abend,der,-e,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,April,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,August,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Dezember,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Dienstag,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Donnerstag,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,dreizehn Uhr siebzehn,,,phrase,13.17 Uhr = dreizehn Uhr siebzehn,time-dates,007
goethe-a1-sd1-vocabulary-list,ein Uhr,,,phrase,b) ein Uhr,time-dates,007
goethe-a1-sd1-vocabulary-list,Februar,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Freitag,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,fünf Minuten vor/nach eins (ein Uhr),,,phrase,fünf Minuten vor/nach eins (ein Uhr),time-dates,007
goethe-a1-sd1-vocabulary-list,halb drei,,,phrase,halb drei,time-dates,007
goethe-a1-sd1-vocabulary-list,Jahr,das,-e,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Januar,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Juli,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Juni,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Mai,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Minute,die,-n,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Mittag,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Mittwoch,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Montag,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Morgen,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,März,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Nachmittag,der,-e,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Nacht,die,¨-e,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,November,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,null Uhr drei,,,phrase,0.03 Uhr = null Uhr drei,time-dates,007
goethe-a1-sd1-vocabulary-list,Oktober,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Samstag/Sonnabend,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Sekunde,die,-n,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,September,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,sieben Uhr fünfzehn,,,phrase,7.15 Uhr = sieben Uhr fünfzehn,time-dates,007
goethe-a1-sd1-vocabulary-list,Sonntag,der,,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Stunde,die,-n,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Tag,der,-e,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Viertel vor/nach zwei (zwei Uhr),,,phrase,Viertel vor/nach zwei (zwei Uhr),time-dates,007
goethe-a1-sd1-vocabulary-list,vierundzwanzig Uhr,,,phrase,24.00 Uhr = vierundzwanzig Uhr,time-dates,007
goethe-a1-sd1-vocabulary-list,Vormittag,der,-e,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Woche,die,-e,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,Wochenende,das,,noun,am Wochenende,time-dates,007
goethe-a1-sd1-vocabulary-list,Wochentag,der,-e,noun,,time-dates,007
goethe-a1-sd1-vocabulary-list,blau,,,adjective,,none,008
goethe-a1-sd1-vocabulary-list,braun,,,adjective,,none,008
goethe-a1-sd1-vocabulary-list,Cent,,,noun,100 Cent,shopping,008
goethe-a1-sd1-vocabulary-list,deutsch,,,adjective,"ein Deutscher, eine Deutsche, Deutsche, deutsch",personal-info,008
goethe-a1-sd1-vocabulary-list,Deutsche,der/die,-n,noun,"ein Deutscher, eine Deutsche, Deutsche, deutsch",personal-info,008
goethe-a1-sd1-vocabulary-list,Deutschland,,,noun,,personal-info,008
goethe-a1-sd1-vocabulary-list,ein Meter fünfzehn,,,phrase,"ein Meter fünfzehn = 1,15 m",none,008
goethe-a1-sd1-vocabulary-list,Euro,,,noun,1 Euro,shopping,008
goethe-a1-sd1-vocabulary-list,Europa,,,noun,,personal-info,008
goethe-a1-sd1-vocabulary-list,Europäer,,,noun,,personal-info,008
goethe-a1-sd1-vocabulary-list,europäisch,,,adjective,,personal-info,008
