collection,unit,section,content_type,activity_type,topic,level,status,qa,word_count,summary,title
goethe-a1-fit1-vocabulary-list,page-001,,[cover],cover,none,A1,verified,pass,19,Cover page for Goethe-Zertifikat A1 Fit in Deutsch 1 vocabulary list.,A1
goethe-a1-fit1-vocabulary-list,page-002,,[intro],instructions,none,A1,verified,pass,18,Publisher imprint and copyright information from Goethe-Institut.,www.goethe.de/pruefungen
goethe-a1-fit1-vocabulary-list,page-003,,[toc],instructions,none,A1,verified,pass,116,"Table of contents listing preface, themes, word groups, and grammar.",Inhalt
goethe-a1-fit1-vocabulary-list,page-004,vocabulary,[intro],instructions,none,A1,verified,pass,294,Preface explaining purpose and scope of the A1 vocabulary list.,VORWORT
goethe-a1-fit1-vocabulary-list,page-005,vocabulary,[vocabulary],vocabulary,mixed,A1,verified,pass,151,"Thematic inventory of A1 topics across person, home, food, travel, leisure.",INVENTARE
goethe-a1-fit1-vocabulary-list,page-006,vocabulary,[vocabulary],vocabulary,mixed,A1,verified,pass,401,"Word groups: anglicisms, exam language, jobs, and family members.",INVENTARE
goethe-a1-fit1-vocabulary-list,page-007,vocabulary,[vocabulary],vocabulary,mixed,A1,verified,pass,403,"Colors, directions, measures, currencies, countries, school subjects, numbers.",INVENTARE
goethe-a1-fit1-vocabulary-list,page-008,vocabulary,[vocabulary],vocabulary,time-dates,A1,verified,pass,165,"Holidays, seasons, months, times of day, clock times, weekdays.",INVENTARE
goethe-a1-fit1-vocabulary-list,page-009,vocabulary,[vocabulary],vocabulary,mixed,A1,verified,pass,505,Alphabetical word list letter A with example sentences.,INVENTARE
goethe-a1-fit1-vocabulary-list,page-010,vocabulary,[vocabulary],vocabulary,mixed,A1,verified,pass,519,Alphabetical word list letters A and B with example sentences.,INVENTARE
goethe-a1-fit1-vocabulary-list,page-011,vocabulary,[vocabulary],vocabulary,mixed,A1,verified,pass,489,Alphabetical word list letters B through E with example sentences.,INVENTARE
goethe-a1-fit1-vocabulary-list,page-012,vocabulary,[vocabulary],vocabulary,mixed,A1,verified,pass,520,Alphabetical word list letters E and F with example sentences.,INVENTARE
goethe-a1-fit1-vocabulary-list,page-013,vocabulary,[vocabulary],vocabulary,mixed,A1,verified,pass,473,Alphabetical word list letters G and H with example sentences.,INVENTARE
goethe-a1-fit1-vocabulary-list,page-014,vocabulary,[vocabulary],vocabulary,mixed,A1,verified,pass,482,Alphabetical word list letters H through K with example sentences.,INVENTARE
goethe-a1-fit1-vocabulary-list,page-015,vocabulary,[vocabulary],vocabulary,mixed,A1,verified,pass,463,Alphabetical word list letters K and L with example sentences.,INVENTARE
goethe-a1-fit1-vocabulary-list,page-016,vocabulary,[vocabulary],vocabulary,mixed,A1,verified,pass,483,Alphabetical word list letters L through N with example sentences.,INVENTARE
goethe-a1-fit1-vocabulary-list,page-017,vocabulary,[vocabulary],vocabulary,mixed,A1,verified,pass,471,Alphabetical word list letters N through R with example sentences.,INVENTARE
goethe-a1-fit1-vocabulary-list,page-018,vocabulary,[vocabulary],vocabulary,mixed,A1,verified,pass,497,Alphabetical word list letters R and S with example sentences.,INVENTARE
goethe-a1-fit1-vocabulary-list,page-019,vocabulary,[vocabulary],vocabulary,mixed,A1,verified,pass,508,Alphabetical word list letters S through U with example sentences.,INVENTARE
goethe-a1-fit1-vocabulary-list,page-020,vocabulary,[vocabulary],vocabulary,mixed,A1,verified,pass,450,Alphabetical word list letters V and W with example sentences.,INVENTARE
goethe-a1-fit1-vocabulary-list,page-021,vocabulary,[vocabulary],vocabulary,mixed,A1,verified,pass,221,Alphabetical word list letters W and Z with example sentences.,INVENTARE
goethe-a1-fit1-vocabulary-list,page-022,,[intro],instructions,none,A1,verified,pass,154,Introduction to the grammar inventory and its role at A1 level.,INVENTARE
goethe-a1-fit1-vocabulary-list,page-023,vocabulary,[vocabulary],vocabulary,none,A1,verified,pass,59,"Overview list of grammar categories: verbs, nouns, adjectives, syntax.",INVENTARE
goethe-a1-fit1-vocabulary-list,page-024,vocabulary,"[vocabulary, intro]",vocabulary,none,A1,verified,pass,264,"Grammar tables for verb tense, mood, modals, nouns, and articles.",INVENTARE
goethe-a1-fit1-vocabulary-list,page-025,vocabulary,[vocabulary],vocabulary,none,A1,verified,pass,320,"Grammar tables for articles, pronouns, adjectives, and prepositions.",INVENTARE
goethe-a1-fit1-vocabulary-list,page-026,vocabulary,[vocabulary],vocabulary,none,A1,verified,pass,477,Grammar tables for prepositions and syntax including negation and questions.,INVENTARE
goethe-a1-fit1-vocabulary-list,page-027,vocabulary,[vocabulary],vocabulary,none,A1,verified,pass,62,Word formation rules for nouns and adjectives with examples.,INVENTARE
goethe-a1-fit1-vocabulary-list,page-028,,[cover],cover,none,A1,verified,pass,9,Back cover with Goethe-Institut Munich address.,Goethe-Institut
