collection,unit,section,chapter,content_type,activity_type,topic,level,status,qa,word_count,summary,title
cosmopolite-a1-methode,page-001,none,,[cover],cover,none,A1,verified,pass,73,Front cover of the Cosmopolite 1 A1 French textbook.,Nathalie Hirschsprung - Tony Tricot
cosmopolite-a1-methode,page-002,,,[cover],cover,none,A1,verified,pass,34,"Title page listing authors, contributors, and publisher Hachette.",Cosmopolite 1
cosmopolite-a1-methode,page-003,none,,[intro],none,none,A1,transcribed,fail,256,Page could not be transcribed (content-filter block on a real-person photo); see page-003.md for detail.,This page could not be transcribed.
cosmopolite-a1-methode,page-004,none,,[instructions],instructions,none,A1,verified,pass,552,"User guide explaining the structure of the student book (dossiers, leçons).",MODE D'EMPLOI
cosmopolite-a1-methode,page-005,none,,[instructions],instructions,none,A1,transcribed,fail,862,"User guide continued: Cultures, Projets, DELF pages, and digital resources.",MODE D'EMPLOI
cosmopolite-a1-methode,page-006,none,Dossier 0 / Dossier 1,[toc],none,mixed,A1,verified,pass,515,"Contents table for Dossier 0 and Dossier 1: lessons, grammar, vocabulary.",TABLEAU DES CONTENUS
cosmopolite-a1-methode,page-007,none,Dossier 2 / Dossier 3,[toc],none,mixed,A1,verified,pass,764,"Contents table for Dossier 2 (travel) and Dossier 3 (family, description).",TABLEAU DES CONTENUS
cosmopolite-a1-methode,page-008,none,Dossier 4 / Dossier 5,[toc],none,mixed,A1,verified,pass,739,"Contents table for Dossier 4 (daily routine) and Dossier 5 (news, biography).",DOSSIER 4 – Nous parlons de notre quotidien
cosmopolite-a1-methode,page-009,none,Dossier 6 / Dossier 7,[toc],none,mixed,A1,verified,pass,714,"Contents table for Dossier 6 (travel) and Dossier 7 (shopping, food).",TABLEAU DES CONTENUS
cosmopolite-a1-methode,page-010,none,Dossier 8,[toc],none,mixed,A1,verified,pass,339,"Contents table for Dossier 8: restaurants, clothing, events, evening party.",DOSSIER 8 – Nous organisons une soirée française
cosmopolite-a1-methode,page-011,speaking,Dossier 0,"[chapter-opener, lesson, picture-story, exercise]",speaking-task,communication,A1,verified,pass,250,Comic-strip intro activity: greetings and answering the phone in six languages.,"Bandeau bleu, en haut de page :"
cosmopolite-a1-methode,page-012,speaking,Leçon 1,"[lesson, dialogue, grammar-box, exercise, speaking-prompt]",speaking-task,personal-info,A1,verified,pass,273,Practice self-introductions (je m'appelle) via dialogue matching and speaking.,Badge en haut à droite : Dossier 0 Leçon 1
cosmopolite-a1-methode,page-013,listening,Leçon 2,"[chapter-opener, lesson, listening-sheet, exercise]",listening-comprehension,communication,A1,verified,pass,219,Listening activity: identify audio type and match alphabet pronunciation.,Logo leçon stylisé (nœud papillon/molécule bleu formé de flèches et de ronds)
cosmopolite-a1-methode,page-014,listening,Leçon 2,"[lesson, grammar-box, exercise, listening-sheet, speaking-prompt]",listening-comprehension,communication,A1,verified,pass,459,"Alphabet sounds, accents, and spelling names via listening and forum reading.",Badge en haut à droite : Dossier 0 Leçon 2
cosmopolite-a1-methode,page-015,grammar,Leçon 3,"[chapter-opener, lesson, vocabulary, exercise, grammar-box]",fill-in,travel,A1,verified,pass,438,"Practice country names, numbers, and definite articles via an Olympic medal table.",Logo leçon stylisé (nœud papillon/molécule bleu formé de flèches et de ronds)
cosmopolite-a1-methode,page-016,grammar,Leçon 3,"[grammar-box, vocabulary, exercise, listening-sheet, speaking-prompt]",fill-in,travel,A1,verified,pass,726,Complete country-article rules and number tables 0-69; play a counting game.,Badge en haut à droite : Dossier 0 Leçon 3
cosmopolite-a1-methode,page-017,reading,Leçon 4,"[lesson, chapter-opener, reading-text, exercise]",reading-comprehension,time-dates,A1,verified,pass,298,Read a language-school course calendar and complete months per season.,Logo dossier/leçon stylisé (nœud papillon bleu formé de flèches)
cosmopolite-a1-methode,page-018,listening,Leçon 4,"[lesson, exercise, grammar-box, vocabulary]",listening-comprehension,time-dates,A1,verified,pass,393,Song-based practice of days/months; classroom communication expressions.,Dossier 0 &nbsp; Leçon 4 &nbsp; logo dossier/leçon
cosmopolite-a1-methode,page-019,speaking,Dossier 1,"[chapter-opener, speaking-prompt]",speaking-task,communication,A1,verified,pass,201,Discussion prompts on French greeting customs and use of tu/vous.,Logo dossier stylisé (nœud papillon bleu/vert formé de flèches)
cosmopolite-a1-methode,page-020,speaking,Dossier 1,"[chapter-opener, speaking-prompt]",speaking-task,communication,A1,verified,pass,215,Discuss where French is spoken and its uses; unit project overview.,③ On parle français en :
cosmopolite-a1-methode,page-021,listening,Leçon 1,"[lesson, exercise, grammar-box, dialogue]",matching,communication,A1,verified,pass,471,Match greeting phrases to photos; reconstruct formal/informal dialogues.,Logo dossier/leçon stylisé (nœud papillon vert/bleu formé de flèches)
cosmopolite-a1-methode,page-022,speaking,Leçon 1,"[lesson, exercise, grammar-box, dialogue, audio-script]",true-false,personal-info,A1,verified,pass,349,True/false on an embassy invitation; greeting role-play and article practice.,Dossier 1 &nbsp; Leçon 1 &nbsp; logo dossier/leçon
cosmopolite-a1-methode,page-023,listening,Leçon 2,"[lesson, exercise, listening-sheet, grammar-box]",matching,travel,A1,verified,pass,477,Match listening dialogues about travel situations to photos and topics.,Logo dossier/leçon stylisé (nœud papillon vert/bleu formé de flèches)
cosmopolite-a1-methode,page-024,listening,Leçon 2,"[lesson, exercise, listening-sheet, grammar-box, speaking-prompt]",listening-comprehension,personal-info,A1,verified,pass,607,Listen to a conversation with phone numbers; true/false and matching drills.,Dossier 1　Leçon 2　logo dossier/leçon
cosmopolite-a1-methode,page-025,listening,Leçon 3,"[lesson, exercise, listening-sheet, reading-text]",multiple-choice,personal-info,A1,verified,pass,409,Multiple-choice and true/false on a francophone festival poster and program.,Logo dossier/leçon stylisé (croix bleue et verte formée de cercles/nœuds)
cosmopolite-a1-methode,page-026,grammar,Leçon 3,"[lesson, exercise, grammar-box, vocabulary]",fill-in,personal-info,A1,verified,pass,539,Complete festival badges and grammar tables for nationality and profession.,Dossier 1　Leçon 3　logo dossier/leçon
cosmopolite-a1-methode,page-027,listening,Leçon 4,"[lesson, exercise, listening-sheet, reading-text]",reading-comprehension,personal-info,A1,transcribed,fail,536,"Read a film webpage to identify director, actors, characters; verb drills.",Logo dossier/leçon stylisé (croix bleue et verte formée de cercles/nœuds)
cosmopolite-a1-methode,page-028,grammar,Leçon 4,"[lesson, exercise, grammar-box, reading-text, listening-sheet]",reading-comprehension,personal-info,A1,transcribed,fail,688,Read a student blog profile; multiple-choice questions and registration form.,Dossier 1　Leçon 4　logo dossier/leçon
cosmopolite-a1-methode,page-029,listening,"Dossier 1, Leçon 5","[chapter-opener, exercise, grammar-box, listening-sheet]",fill-in,personal-info,A1,verified,pass,408,Complete a registration form and grammar tables about identity via listening.,LEÇON
cosmopolite-a1-methode,page-030,reading,"Dossier 1, Leçon 5","[exercise, grammar-box, dialogue, listening-sheet]",true-false,school,A1,verified,pass,525,True/false comprehension of a chat about a French class; possessives practice.,Dossier 1 Leçon 5
