collection,unit,section,content_type,activity_type,topic,level,status,qa,word_count,summary,title
goyal-a1-young-learners,page-001,,[cover],cover,none,A1,verified,pass,51,Course cover: Hallo Deutsch Plus Neu A1 training booklet with audio CD.,Hallo Deutsch Plus Neu A1
goyal-a1-young-learners,page-002,,[cover],cover,none,A1,verified,pass,57,Inside cover repeating the Hallo Deutsch Plus Neu A1 title with publisher logos.,Hallo Deutsch Plus
goyal-a1-young-learners,page-003,,"[toc, chapter-opener]",none,none,A1,verified,pass,156,"Lektion 1 contents (Erste Kontakte): greetings, family, cities, counting, grammar, games.",INHALT
goyal-a1-young-learners,page-004,,"[toc, chapter-opener]",none,none,A1,verified,pass,200,"Lektion 2 contents (So wohne ich): rooms, drinks, pets, origins, grammar, games.",Inhalt
goyal-a1-young-learners,page-005,,"[toc, chapter-opener]",none,none,A1,verified,pass,149,"Lektion 3 contents (Mein Alltag) plus appendix with transcripts, sources, country map.",Inhalt
goyal-a1-young-learners,page-006,,"[intro, instructions]",instructions,none,A1,verified,pass,153,Series components overview with prices and a legend of symbols used in the book.,"(vertical green side-tab, left margin): auf einen Blick"
goyal-a1-young-learners,page-007,,"[chapter-opener, exercise]",multiple-choice,communication,A1,verified,pass,167,Greetings practice: choose the correctly spelled greeting and unscramble jumbled greeting words.,Lektion 1
goyal-a1-young-learners,page-008,,[exercise],fill-in,communication,A1,verified,pass,295,"Greetings by time of day, greeting/farewell for people, and matching questions to answers.","(Seitenrand-Banner, senkrecht:) Lektion 1"
goyal-a1-young-learners,page-009,schreiben,"[exercise, dialogue]",fill-in,personal-info,A1,verified,pass,199,"Complete a greeting dialogue and write missing questions about name, age, and hometown.",Lektion 1
goyal-a1-young-learners,page-010,,"[exercise, listening-sheet, writing-prompt, speaking-prompt]",listening-comprehension,personal-info,A1,verified,pass,257,"Fill your own profile, then order a DJ interview and complete his profile.",Lektion 1
goyal-a1-young-learners,page-011,,"[exercise, reading-text, writing-prompt, vocabulary, grammar-box]",vocabulary,family,A1,verified,pass,283,"Write a penpal email, then give German articles for family-member nouns.","Lektion 1 (vertical side banner, top right)"
goyal-a1-young-learners,page-012,,"[exercise, vocabulary, writing-prompt]",vocabulary,family,A1,verified,pass,195,"Sort relatives into family categories, present the Beckmann family, and read a family tree.",Lektion 1
goyal-a1-young-learners,page-013,,[exercise],short-answer,family,A1,verified,pass,288,Family-tree questions identifying relatives and matching people to their number of siblings.,Lektion 1
goyal-a1-young-learners,page-014,lesen,"[exercise, reading-text, writing-prompt]",reading-comprehension,family,A1,verified,pass,185,"State your own siblings, then read about Familie Zidek and answer comprehension questions.",Lektion 1
goyal-a1-young-learners,page-015,,"[exercise, speaking-prompt, listening-sheet]",speaking-task,personal-info,A1,verified,pass,204,"Introduce four young people from cards, then take notes on a director interview.",Lektion 1
goyal-a1-young-learners,page-016,schreiben,"[exercise, writing-prompt]",matching,personal-info,A1,verified,pass,252,Write a school-magazine article and build polite Sie-form questions about the director.,Lektion 1
goyal-a1-young-learners,page-017,,"[exercise, listening-sheet, writing-prompt]",matching,city-places,A1,verified,pass,220,"Complete a profile from listening, then match cities to their German-speaking regions.",Lektion 1
goyal-a1-young-learners,page-018,schreiben,"[exercise, writing-prompt]",short-answer,city-places,A1,verified,pass,221,Match more cities to regions and answer yes/no questions about where cities lie.,Lektion 1
goyal-a1-young-learners,page-019,hoeren,"[exercise, listening-sheet]",listening-comprehension,city-places,A1,verified,pass,271,"Listen to identify six German-speaking cities, then match car number plates to cities.",Lektion 1
goyal-a1-young-learners,page-020,schreiben,"[exercise, writing-prompt, dialogue]",writing-task,personal-info,A1,verified,pass,171,Write short dialogues about where five young people live and whether they like it.,Lektion 1
goyal-a1-young-learners,page-021,,"[exercise, listening-sheet]",fill-in,none,A1,verified,pass,428,"Write numbers as words and digits, then listen and mark lottery and spoken numbers.",Lektion 1
goyal-a1-young-learners,page-022,,"[exercise, listening-sheet]",fill-in,shopping,A1,verified,pass,197,"Complete -zehn/-zig number endings, then listen and choose the correct prices.",Lektion 1
goyal-a1-young-learners,page-023,hoeren,"[exercise, listening-sheet]",listening-comprehension,communication,A1,verified,pass,155,"Listen and note four people's mobile numbers, then find hidden number words.",Lektion 1
goyal-a1-young-learners,page-024,,"[exercise, grammar-box]",fill-in,personal-info,A1,verified,pass,309,"Present-tense conjugation table and gap-fills for the verbs sein, heißen and wohnen.","(Randmarke, linke Seite, vertikal:) Lektion 1 · Grammatik"
goyal-a1-young-learners,page-025,,"[exercise, grammar-box]",fill-in,personal-info,A1,verified,pass,286,"Fill in personal pronouns, match names to er/sie, and form questions.",Lektion 1 · Grammatik
goyal-a1-young-learners,page-026,,"[exercise, grammar-box]",short-answer,personal-info,A1,verified,pass,254,"Form questions, unscramble word-order sentences, answer, and fill prepositions in/bei/von.",Lektion 1 · Grammatik
goyal-a1-young-learners,page-027,,"[exercise, grammar-box]",fill-in,family,A1,verified,pass,301,Answer location questions and fill definite and possessive articles for family nouns.,Lektion 1 · Grammatik
goyal-a1-young-learners,page-028,hoeren,"[exercise, listening-sheet]",speaking-task,personal-info,A1,verified,pass,219,"Listening-response and pronunciation drills on names, age, siblings and where people live.",Lektion 1 · Trainieren
goyal-a1-young-learners,page-029,,"[chapter-opener, instructions, vocabulary, picture-story]",vocabulary,family,A1,verified,pass,128,Memory game: cut-out cards with family have-sentences to match into pairs.,Lektion 1 · Spielen
goyal-a1-young-learners,page-030,vocabulary,[vocabulary],none,none,A1,verified,pass,97,Cut-out sheet of sixteen identical card backs labeled Wortschatz Familie for the game.,"<!-- Vertical tab banner, top-left corner (rotated 90°, reading bottom-to-top): --"
goyal-a1-young-learners,page-031,,"[instructions, exercise, grammar-box]",ordering,personal-info,A1,verified,pass,115,"Sentence-building game: cut-out question-word, verb and subject cards to form questions.",Lektion 1 · Spielen
goyal-a1-young-learners,page-032,,"[exercise, grammar-box]",none,none,A1,verified,pass,109,Cut-out sheet of card backs labeled Grammatik Wo? Wie? Wer? for the game.,Lektion 1 · Spielen
goyal-a1-young-learners,page-033,,[exercise],ordering,mixed,A1,verified,pass,130,"Sentence-building game: colored subject, verb and complement cards to form statements.",Lektion 1
goyal-a1-young-learners,page-034,,[exercise],none,none,A1,verified,pass,110,Cut-out sheet of card backs labeled Grammatik Aussagesätze for the sentence game.,Lektion 1
goyal-a1-young-learners,page-035,vocabulary,"[exercise, vocabulary]",vocabulary,family,A1,verified,pass,79,Syllable puzzle: cut-out syllable cards to reassemble into family and describing words.,Lektion 1
goyal-a1-young-learners,page-036,vocabulary,"[exercise, vocabulary]",none,none,A1,verified,pass,171,Cut-out sheet of twenty-four identical Silbenrätsel card backs for the syllable game.,Lektion 1
goyal-a1-young-learners,page-037,vocabulary,"[chapter-opener, exercise, vocabulary]",matching,home,A1,verified,pass,141,Chapter opener 'So wohne ich': match ten furniture words to numbered picture items.,Lektion 2
goyal-a1-young-learners,page-038,schreiben,"[exercise, grammar-box]",short-answer,home,A1,verified,pass,231,"Answer with nein/kein from pictures, then match household objects to the pronouns er, sie, es.",Lektion 2
goyal-a1-young-learners,page-039,schreiben,"[lesson, exercise, writing-prompt]",writing-task,home,A1,verified,pass,203,"Tick boxes about your home's type, location, size and features, then write a short description.",Lektion 2
goyal-a1-young-learners,page-040,,"[exercise, listening-sheet, speaking-prompt, writing-prompt]",listening-comprehension,home,A1,verified,pass,242,"Match rooms to adjectives by listening, build room dialogues, and rate rooms with adjectives.",Lektion 2
