collection,section,part,item,item_type,instruction,question,option_a,option_b,option_c,correct_answer,level,topic,source_page
goethe-a1-sd1-exam-training-2,listening,1,1,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wo gibt es Kleidung für Kinder?,Im 1. Stock.,Im 2. Stock.,Im 4. Stock.,b,A1,shopping,009
goethe-a1-sd1-exam-training-2,listening,1,2,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Was bestellt die Dame?,Hähnchen.,Fisch.,Salat.,c,A1,restaurant,009
goethe-a1-sd1-exam-training-2,listening,1,3,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wie lange hat das Museum am Mittwoch geöffnet?,Bis 15 Uhr.,Bis 18 Uhr.,Bis 22 Uhr.,a,A1,city-places,009
goethe-a1-sd1-exam-training-2,listening,1,4,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Welchen Sport empfiehlt der Arzt?,Fahrrad fahren.,Fußball.,Laufen.,a,A1,health,010
goethe-a1-sd1-exam-training-2,listening,1,5,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wo macht Familie Bauer Urlaub?,Am Meer.,Bei Verwandten.,Zu Hause.,b,A1,vacation,010
goethe-a1-sd1-exam-training-2,listening,1,6,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wie lange dauert der Flug nach München?,30 Minuten.,45 Minuten.,50 Minuten.,c,A1,travel,010
goethe-a1-sd1-exam-training-2,listening,2,7,true-false,Kreuzen Sie an: Richtig oder Falsch. Sie hören jeden Text einmal.,Die Fahrgäste sollen im Zug bleiben.,Richtig,Falsch,,Richtig,A1,travel,011
goethe-a1-sd1-exam-training-2,listening,2,8,true-false,Kreuzen Sie an: Richtig oder Falsch. Sie hören jeden Text einmal.,Fluggäste nach Rom sollen zu Ausgang A7 kommen.,Richtig,Falsch,,Falsch,A1,travel,011
goethe-a1-sd1-exam-training-2,listening,2,9,true-false,Kreuzen Sie an: Richtig oder Falsch. Sie hören jeden Text einmal.,Die Urlauber sollen um vier Uhr am Bus sein.,Richtig,Falsch,,Falsch,A1,vacation,011
goethe-a1-sd1-exam-training-2,listening,2,10,true-false,Kreuzen Sie an: Richtig oder Falsch. Sie hören jeden Text einmal.,Der Vater von Mario soll sofort zur Information gehen.,Richtig,Falsch,,Richtig,A1,city-places,011
