collection,word,article,plural,word_class,example,topic,source_page
goyal-a1-young-learners,Bruder,der,,noun,,family,011
goyal-a1-young-learners,Eltern,die,,noun,,family,011
goyal-a1-young-learners,Großeltern,die,,noun,,family,011
goyal-a1-young-learners,Mutter,die,,noun,,family,011
goyal-a1-young-learners,Oma,die,,noun,,family,011
goyal-a1-young-learners,Onkel,der,,noun,,family,011
goyal-a1-young-learners,Opa,der,,noun,,family,011
goyal-a1-young-learners,Schwester,die,,noun,,family,011
goyal-a1-young-learners,Tante,die,,noun,,family,011
goyal-a1-young-learners,Vater,der,,noun,,family,011
goyal-a1-young-learners,Bruder,,,noun,,family,012
goyal-a1-young-learners,Cousin,,,noun,,family,012
goyal-a1-young-learners,Cousine,,,noun,,family,012
goyal-a1-young-learners,Mutter,,,noun,,family,012
goyal-a1-young-learners,Oma,,,noun,,family,012
goyal-a1-young-learners,Onkel,,,noun,,family,012
goyal-a1-young-learners,Opa,,,noun,,family,012
goyal-a1-young-learners,Schwester,,,noun,,family,012
goyal-a1-young-learners,Tante,,,noun,,family,012
goyal-a1-young-learners,Vater,,,noun,,family,012
goyal-a1-young-learners,Bild,das,,noun,,home,037
goyal-a1-young-learners,Bücherregal,das,,noun,,home,037
goyal-a1-young-learners,CD-Player,der,,noun,,home,037
goyal-a1-young-learners,Fernseher,der,,noun,,home,037
goyal-a1-young-learners,Lampe,die,,noun,,home,037
goyal-a1-young-learners,Sofa,das,,noun,,home,037
goyal-a1-young-learners,Stuhl,der,,noun,,home,037
goyal-a1-young-learners,Teppich,der,,noun,,home,037
goyal-a1-young-learners,Tisch,der,,noun,,home,037
goyal-a1-young-learners,Vase,die,,noun,,home,037
goyal-a1-young-learners,Apfelsaft,,,noun,,food,044
goyal-a1-young-learners,Bier,,,noun,,food,044
goyal-a1-young-learners,bitte,,,other,,communication,044
goyal-a1-young-learners,Cola,,,noun,,food,044
goyal-a1-young-learners,danke,,,other,,communication,044
goyal-a1-young-learners,Dose,,,noun,,restaurant,044
goyal-a1-young-learners,Flasche,,,noun,,restaurant,044
goyal-a1-young-learners,geht es,,,phrase,,communication,044
goyal-a1-young-learners,gern,,,adverb,,communication,044
goyal-a1-young-learners,Glas,,,noun,,restaurant,044
goyal-a1-young-learners,gut,,,adjective,,communication,044
goyal-a1-young-learners,Kaffee,,,noun,,food,044
goyal-a1-young-learners,möchten Sie,,,phrase,,communication,044
goyal-a1-young-learners,Schokolade,,,noun,,food,044
goyal-a1-young-learners,Tag,,,noun,,communication,044
goyal-a1-young-learners,Tasse,,,noun,,restaurant,044
goyal-a1-young-learners,Tee,,,noun,,food,044
goyal-a1-young-learners,Wasser,,,noun,,food,044
goyal-a1-young-learners,Wein,,,noun,,food,044
goyal-a1-young-learners,Apfelsaft,,,noun,,food,061
goyal-a1-young-learners,Glas Wasser,,,phrase,,food,061
goyal-a1-young-learners,Hund,,,noun,,none,061
goyal-a1-young-learners,Kamillentee,,,noun,,food,061
goyal-a1-young-learners,Kaninchen,,,noun,,none,061
goyal-a1-young-learners,Maus,,,noun,,none,061
goyal-a1-young-learners,Pferd,,,noun,,none,061
goyal-a1-young-learners,Tasse Kaffee,,,phrase,,food,061
goyal-a1-young-learners,Brot,das,,noun,,food,067
goyal-a1-young-learners,Brötchen,das,,noun,,food,067
goyal-a1-young-learners,Butter,die,,noun,,food,067
goyal-a1-young-learners,Croissant,das,,noun,,food,067
goyal-a1-young-learners,Ei,das,,noun,,food,067
