collection,section,part,item,item_type,instruction,question,option_a,option_b,option_c,option_d,option_e,correct_answer,level,topic,source_page
tricolore-1-5th-edition,listening,2 Ça va?,1,multiple-choice,Écoute et écris ✓ ou 〜 ou ✗ pour chaque personne.,Lauryne,✓ (Ça va bien),〜 (Comme ci comme ça),✗ (Pas très bien),,,✓,A1,personal-info,010
tricolore-1-5th-edition,listening,2 Ça va?,2,multiple-choice,Écoute et écris ✓ ou 〜 ou ✗ pour chaque personne.,Julien,✓ (Ça va bien),〜 (Comme ci comme ça),✗ (Pas très bien),,,,A1,personal-info,010
tricolore-1-5th-edition,listening,2 Ça va?,3,multiple-choice,Écoute et écris ✓ ou 〜 ou ✗ pour chaque personne.,Sanjay,✓ (Ça va bien),〜 (Comme ci comme ça),✗ (Pas très bien),,,,A1,personal-info,010
tricolore-1-5th-edition,listening,2 Ça va?,4,multiple-choice,Écoute et écris ✓ ou 〜 ou ✗ pour chaque personne.,Chloé,✓ (Ça va bien),〜 (Comme ci comme ça),✗ (Pas très bien),,,,A1,personal-info,010
tricolore-1-5th-edition,listening,2 Ça va?,5,multiple-choice,Écoute et écris ✓ ou 〜 ou ✗ pour chaque personne.,Léa,✓ (Ça va bien),〜 (Comme ci comme ça),✗ (Pas très bien),,,,A1,personal-info,010
tricolore-1-5th-edition,listening,2 Ça va?,6,multiple-choice,Écoute et écris ✓ ou 〜 ou ✗ pour chaque personne.,Alexandre,✓ (Ça va bien),〜 (Comme ci comme ça),✗ (Pas très bien),,,,A1,personal-info,010
tricolore-1-5th-edition,speaking,3 Quel âge as-tu?,3,speaking-task,Travaillez à deux.,Quel âge as-tu?,,,,,,(open-ended),A1,personal-info,011
tricolore-1-5th-edition,writing,4 Salut!,4a,fill-in,"À deux, complétez la conversation.","A Salut! Comment t'appelles-tu? B Je m'appelle ___. Et toi, comment ___? A Je ___. Quel âge as-tu? B J'ai 11 ans. Et toi, quel ___? A J'ai ___. Ça va? B Comme ci, comme ça. Et toi, ___? A ___ Au revoir ___. B ___",,,,,,,A1,personal-info,011
tricolore-1-5th-edition,speaking,4 Salut!,4b,speaking-task,"À deux, inventez une longue conversation.","À deux, inventez une longue conversation.",,,,,,(open-ended),A1,personal-info,011
tricolore-1-5th-edition,speaking,2 Qu'est-ce que c'est?,2b,speaking-task,Jouez à deux.,Je pense à quelque chose.,,,,,,(open-ended),A1,school,012
tricolore-1-5th-edition,writing,3a Copie les bonnes phrases,1,true-false,Copie les bonnes phrases.,Il y a quatre crayons.,,,,,,Vrai,A1,school,013
tricolore-1-5th-edition,writing,3b Copie et complète,1,fill-in,Copie et complète.,Il y a ___ taille-crayon.,,,,,,un,A1,school,013
tricolore-1-5th-edition,writing,3a Copie les bonnes phrases,2,true-false,Copie les bonnes phrases.,Il y a deux stylos.,,,,,,,A1,school,013
tricolore-1-5th-edition,writing,3b Copie et complète,2,fill-in,Copie et complète.,Il y a ___ classeurs.,,,,,,,A1,school,013
tricolore-1-5th-edition,writing,3a Copie les bonnes phrases,3,true-false,Copie les bonnes phrases.,Il y a une trousse.,,,,,,,A1,school,013
tricolore-1-5th-edition,writing,3b Copie et complète,3,fill-in,Copie et complète.,Il y a cinq ___.,,,,,,,A1,school,013
tricolore-1-5th-edition,writing,3c,3c,writing-task,Regarde le sac de Léa. Écris six phrases.,Regarde le sac de Léa. Écris six phrases.,,,,,,(open-ended),A1,school,013
tricolore-1-5th-edition,writing,3a Copie les bonnes phrases,4,true-false,Copie les bonnes phrases.,Il y a trois livres.,,,,,,,A1,school,013
tricolore-1-5th-edition,writing,3b Copie et complète,4,fill-in,Copie et complète.,Il y a une ___.,,,,,,,A1,school,013
tricolore-1-5th-edition,listening,4 Qu'est-ce qui manque?,4,short-answer,C'est l'anniversaire de Carine. Voici les cadeaux. Écoute la conversation et regarde les cadeaux. Qu'est-ce qui manque?,C'est l'anniversaire de Carine. Voici les cadeaux. Écoute la conversation et regarde les cadeaux. Qu'est-ce qui manque?,,,,,,,A1,personal-info,013
tricolore-1-5th-edition,writing,3a Copie les bonnes phrases,5,true-false,Copie les bonnes phrases.,Il y a un portable.,,,,,,,A1,school,013
tricolore-1-5th-edition,writing,3b Copie et complète,5,fill-in,Copie et complète.,Il y a quatre ___.,,,,,,,A1,school,013
tricolore-1-5th-edition,writing,3a Copie les bonnes phrases,6,true-false,Copie les bonnes phrases.,Il y a quatre règles.,,,,,,,A1,school,013
tricolore-1-5th-edition,writing,3b Copie et complète,6,fill-in,Copie et complète.,Il y a ___ carnet.,,,,,,,A1,school,013
tricolore-1-5th-edition,reading,1 Donner un ordre,1,matching,Trouve les paires.,Écoutez.,,,,,,C,A1,school,014
tricolore-1-5th-edition,writing,1c Complète les phrases,1,fill-in,Complète les phrases.,Écoutez la ___.,,,,,,chanson,A1,school,014
tricolore-1-5th-edition,reading,2a Des instructions,1,matching,Trouve les paires.,Trouve les paires.,,,,,,Find the pairs.,A1,school,014
tricolore-1-5th-edition,reading,1 Donner un ordre,10,matching,Trouve les paires.,Fermez le cahier.,,,,,,,A1,school,014
tricolore-1-5th-edition,reading,1 Donner un ordre,2,matching,Trouve les paires.,Regardez.,,,,,,,A1,school,014
tricolore-1-5th-edition,writing,1c Complète les phrases,2,fill-in,Complète les phrases.,Comptez les ___.,,,,,,,A1,school,014
tricolore-1-5th-edition,reading,2a Des instructions,2,matching,Trouve les paires.,Regarde les images.,,,,,,Look at the pictures.,A1,school,014
tricolore-1-5th-edition,writing,2b,2b,writing-task,Dessine un poster pour la classe.,Dessine un poster pour la classe.,,,,,,(open-ended),A1,school,014
tricolore-1-5th-edition,reading,1 Donner un ordre,3,matching,Trouve les paires.,Prenez un stylo.,,,,,,,A1,school,014
tricolore-1-5th-edition,writing,1c Complète les phrases,3,fill-in,Complète les phrases.,Ouvrez le ___.,,,,,,,A1,school,014
tricolore-1-5th-edition,reading,2a Des instructions,3,matching,Trouve les paires.,Écoute et répète.,,,,,,Listen and repeat.,A1,school,014
tricolore-1-5th-edition,reading,1 Donner un ordre,4,matching,Trouve les paires.,Levez-vous.,,,,,,,A1,school,014
tricolore-1-5th-edition,writing,1c Complète les phrases,4,fill-in,Complète les phrases.,Fermez la ___.,,,,,,,A1,school,014
tricolore-1-5th-edition,reading,2a Des instructions,4,matching,Trouve les paires.,Écoute et écris …,,,,,,Listen and write …,A1,school,014
tricolore-1-5th-edition,reading,1 Donner un ordre,5,matching,Trouve les paires.,Écrivez.,,,,,,,A1,school,014
tricolore-1-5th-edition,writing,1c Complète les phrases,5,fill-in,Complète les phrases.,Regardez le ___.,,,,,,,A1,school,014
tricolore-1-5th-edition,reading,2a Des instructions,5,matching,Trouve les paires.,Copie et complète …,,,,,,Copy and fill in …,A1,school,014
tricolore-1-5th-edition,reading,1 Donner un ordre,6,matching,Trouve les paires.,Rangez vos affaires,,,,,,,A1,school,014
tricolore-1-5th-edition,writing,1c Complète les phrases,6,fill-in,Complète les phrases.,Trouvez un ___.,,,,,,,A1,school,014
tricolore-1-5th-edition,reading,1 Donner un ordre,7,matching,Trouve les paires.,Répétez.,,,,,,,A1,school,014
tricolore-1-5th-edition,writing,1c Complète les phrases,7,fill-in,Complète les phrases.,Regardez le ___.,,,,,,,A1,school,014
tricolore-1-5th-edition,reading,1 Donner un ordre,8,matching,Trouve les paires.,Ouvrez le livre à page 10.,,,,,,,A1,school,014
tricolore-1-5th-edition,writing,1c Complète les phrases,8,fill-in,Complète les phrases.,Fermez le ___.,,,,,,,A1,school,014
tricolore-1-5th-edition,reading,1 Donner un ordre,9,matching,Trouve les paires.,Asseyez-vous.,,,,,,,A1,school,014
