collection,unit,section,content_type,activity_type,topic,level,status,qa,word_count,summary,title
goyal-a1-young-learners,page-001,,[cover],,,A1,verified,pass,51,,Hallo Deutsch Plus Neu A1
goyal-a1-young-learners,page-002,,[cover],,,A1,verified,pass,57,,Hallo Deutsch Plus
goyal-a1-young-learners,page-003,,"[toc, chapter-opener]",,,A1,verified,pass,156,,INHALT
goyal-a1-young-learners,page-004,,"[toc, chapter-opener]",,,A1,verified,pass,200,,Inhalt
goyal-a1-young-learners,page-005,,"[toc, chapter-opener]",,,A1,verified,pass,149,,Inhalt
goyal-a1-young-learners,page-006,,"[intro, instructions]",,,A1,verified,pass,153,,"(vertical green side-tab, left margin): auf einen Blick"
goyal-a1-young-learners,page-007,,"[chapter-opener, exercise]",,,A1,verified,pass,167,,Lektion 1
goyal-a1-young-learners,page-008,,[exercise],,,A1,verified,pass,295,,"(Seitenrand-Banner, senkrecht:) Lektion 1"
goyal-a1-young-learners,page-009,schreiben,"[exercise, dialogue]",,,A1,verified,pass,199,,Lektion 1
goyal-a1-young-learners,page-010,,"[exercise, listening-sheet, writing-prompt, speaking-prompt]",,,A1,verified,pass,257,,Lektion 1
goyal-a1-young-learners,page-011,,"[exercise, reading-text, writing-prompt, vocabulary, grammar-box]",,,A1,verified,pass,283,,"Lektion 1 (vertical side banner, top right)"
goyal-a1-young-learners,page-012,,"[exercise, vocabulary, writing-prompt]",,,A1,verified,pass,195,,Lektion 1
goyal-a1-young-learners,page-013,,[exercise],,,A1,verified,pass,288,,Lektion 1
goyal-a1-young-learners,page-014,lesen,"[exercise, reading-text, writing-prompt]",,,A1,verified,pass,185,,Lektion 1
goyal-a1-young-learners,page-015,,"[exercise, speaking-prompt, listening-sheet]",,,A1,verified,pass,204,,Lektion 1
goyal-a1-young-learners,page-016,schreiben,"[exercise, writing-prompt]",,,A1,verified,pass,252,,Lektion 1
goyal-a1-young-learners,page-017,,"[exercise, listening-sheet, writing-prompt]",,,A1,verified,pass,220,,Lektion 1
goyal-a1-young-learners,page-018,schreiben,"[exercise, writing-prompt]",,,A1,verified,pass,221,,Lektion 1
goyal-a1-young-learners,page-019,hoeren,"[exercise, listening-sheet]",,,A1,verified,pass,271,,Lektion 1
goyal-a1-young-learners,page-020,schreiben,"[exercise, writing-prompt, dialogue]",,,A1,verified,pass,171,,Lektion 1
