collection,section,part,item,item_type,question,option_a,option_b,option_c,correct_answer,level,topic,source_page
tricolore-1-5th-edition,listening,2 Ça va?,1,multiple-choice,Lauryne,✓ (Ça va bien),〜 (Comme ci comme ça),✗ (Pas très bien),✓,A1,personal-info,010
tricolore-1-5th-edition,listening,2 Ça va?,2,multiple-choice,Julien,✓ (Ça va bien),〜 (Comme ci comme ça),✗ (Pas très bien),,A1,personal-info,010
tricolore-1-5th-edition,listening,2 Ça va?,3,multiple-choice,Sanjay,✓ (Ça va bien),〜 (Comme ci comme ça),✗ (Pas très bien),,A1,personal-info,010
tricolore-1-5th-edition,listening,2 Ça va?,4,multiple-choice,Chloé,✓ (Ça va bien),〜 (Comme ci comme ça),✗ (Pas très bien),,A1,personal-info,010
tricolore-1-5th-edition,listening,2 Ça va?,5,multiple-choice,Léa,✓ (Ça va bien),〜 (Comme ci comme ça),✗ (Pas très bien),,A1,personal-info,010
tricolore-1-5th-edition,listening,2 Ça va?,6,multiple-choice,Alexandre,✓ (Ça va bien),〜 (Comme ci comme ça),✗ (Pas très bien),,A1,personal-info,010
tricolore-1-5th-edition,speaking,3 Quel âge as-tu?,3,speaking-task,Quel âge as-tu?,,,,(open-ended),A1,personal-info,011
tricolore-1-5th-edition,writing,4 Salut!,4a,fill-in,"A Salut! Comment t'appelles-tu? B Je m'appelle ___. Et toi, comment ___? A Je ___. Quel âge as-tu? B J'ai 11 ans. Et toi, quel ___? A J'ai ___. Ça va? B Comme ci, comme ça. Et toi, ___? A ___ Au revoir ___. B ___",,,,,A1,personal-info,011
tricolore-1-5th-edition,speaking,4 Salut!,4b,speaking-task,"À deux, inventez une longue conversation.",,,,(open-ended),A1,personal-info,011
tricolore-1-5th-edition,speaking,2 Qu'est-ce que c'est?,2b,speaking-task,Je pense à quelque chose.,,,,(open-ended),A1,school,012
tricolore-1-5th-edition,writing,3a Copie les bonnes phrases,1,true-false,Il y a quatre crayons.,,,,Vrai,A1,school,013
tricolore-1-5th-edition,writing,3b Copie et complète,1,fill-in,Il y a ___ taille-crayon.,,,,un,A1,school,013
tricolore-1-5th-edition,writing,3a Copie les bonnes phrases,2,true-false,Il y a deux stylos.,,,,,A1,school,013
tricolore-1-5th-edition,writing,3b Copie et complète,2,fill-in,Il y a ___ classeurs.,,,,,A1,school,013
tricolore-1-5th-edition,writing,3a Copie les bonnes phrases,3,true-false,Il y a une trousse.,,,,,A1,school,013
tricolore-1-5th-edition,writing,3b Copie et complète,3,fill-in,Il y a cinq ___.,,,,,A1,school,013
tricolore-1-5th-edition,writing,3c,3c,writing-task,Regarde le sac de Léa. Écris six phrases.,,,,(open-ended),A1,school,013
tricolore-1-5th-edition,writing,3a Copie les bonnes phrases,4,true-false,Il y a trois livres.,,,,,A1,school,013
tricolore-1-5th-edition,writing,3b Copie et complète,4,fill-in,Il y a une ___.,,,,,A1,school,013
tricolore-1-5th-edition,listening,4 Qu'est-ce qui manque?,4,short-answer,C'est l'anniversaire de Carine. Voici les cadeaux. Écoute la conversation et regarde les cadeaux. Qu'est-ce qui manque?,,,,,A1,personal-info,013
tricolore-1-5th-edition,writing,3a Copie les bonnes phrases,5,true-false,Il y a un portable.,,,,,A1,school,013
tricolore-1-5th-edition,writing,3b Copie et complète,5,fill-in,Il y a quatre ___.,,,,,A1,school,013
tricolore-1-5th-edition,writing,3a Copie les bonnes phrases,6,true-false,Il y a quatre règles.,,,,,A1,school,013
tricolore-1-5th-edition,writing,3b Copie et complète,6,fill-in,Il y a ___ carnet.,,,,,A1,school,013
tricolore-1-5th-edition,reading,1 Donner un ordre,1,matching,Écoutez.,,,,C,A1,school,014
tricolore-1-5th-edition,writing,1c Complète les phrases,1,fill-in,Écoutez la ___.,,,,chanson,A1,school,014
