collection,section,part,item,item_type,instruction,question,option_a,option_b,option_c,correct_answer,level,topic,source_page
tricolore-2-5th-edition,listening,Exercise 1,1,fill-in,Écoute et complète les phrases avec les mots de la case.,"Elle vend toutes sortes de pains, des gâteaux, des tartes, des chocolats et aussi (1) ___.",,,,des glaces,A2,shopping,010
tricolore-2-5th-edition,listening,Exercise 1,2,fill-in,Écoute et complète les phrases avec les mots de la case.,Bien sûr. J'ai des croissants et (2) ___.,,,,,A2,shopping,010
tricolore-2-5th-edition,listening,Exercise 1,3,fill-in,Écoute et complète les phrases avec les mots de la case.,"Je vais acheter (3) ___ pour ce soir. Je prends 500g de steak, s'il vous plaît.",,,,,A2,shopping,010
tricolore-2-5th-edition,listening,Exercise 1,4,fill-in,Écoute et complète les phrases avec les mots de la case.,"À la charcuterie, on peut acheter du jambon, du saucisson et (4) ___.",,,,,A2,shopping,010
tricolore-2-5th-edition,listening,Exercise 1,5,fill-in,Écoute et complète les phrases avec les mots de la case.,"Il y a du sucre, de l'eau minérale, (5) ___, du beurre et (6) ___.",,,,,A2,shopping,010
tricolore-2-5th-edition,listening,Exercise 1,6,fill-in,Écoute et complète les phrases avec les mots de la case.,"Il y a du sucre, de l'eau minérale, (5) ___, du beurre et (6) ___.",,,,,A2,shopping,010
tricolore-2-5th-edition,listening,Exercise 1,7,fill-in,Écoute et complète les phrases avec les mots de la case.,"Ici, on vend des livres, (7) ___ et des magazines.",,,,,A2,shopping,010
tricolore-2-5th-edition,listening,Exercise 1,8,fill-in,Écoute et complète les phrases avec les mots de la case.,"Ah bon, je veux acheter (8) ___ au tabac.",,,,,A2,shopping,010
tricolore-2-5th-edition,listening,Exercise 2,1,ordering,Écoute les conversations. On va dans quels magasins? Mets les magasins dans le bon ordre.,On va dans quels magasins? Mets les magasins dans le bon ordre.,,,,,A2,shopping,011
tricolore-2-5th-edition,grammar,Exercise 3a,1,fill-in,"Complète les phrases avec du, de la, etc.","À l'épicerie, j'achète ___ beurre (m) et ___ eau minérale.",,,,du; de l',A2,shopping,011
tricolore-2-5th-edition,grammar,Exercise 3b,1,fill-in,Complète les phrases avec des produits.,"Au tabac, on peut acheter ___.",,,,des timbres,A2,shopping,011
tricolore-2-5th-edition,speaking,Exercise 4a,1,speaking-task,"À deux, posez des questions et répondez.",Qu'est-ce que tu préfères comme fruits?,,,,(open-ended),A2,shopping,011
tricolore-2-5th-edition,writing,Exercise 4b,1,writing-task,Écris un paragraphe avec tes réponses.,Écris un paragraphe avec tes réponses.,,,,(open-ended),B1,shopping,011
tricolore-2-5th-edition,grammar,Exercise 3a,2,fill-in,"Complète les phrases avec du, de la, etc.","À la boulangerie, on achète ___ baguettes.",,,,,A2,shopping,011
tricolore-2-5th-edition,grammar,Exercise 3b,2,fill-in,Complète les phrases avec des produits.,"À la librairie-papeterie, on achète ___.",,,,,A2,shopping,011
tricolore-2-5th-edition,speaking,Exercise 4a,2,speaking-task,"À deux, posez des questions et répondez.",Qu'est-ce que tu préfères comme légumes?,,,,(open-ended),A2,shopping,011
tricolore-2-5th-edition,grammar,Exercise 3a,3,fill-in,"Complète les phrases avec du, de la, etc.","À la charcuterie, on vend ___ jambon (m) et ___ salade (f) de tomates.",,,,,A2,shopping,011
tricolore-2-5th-edition,grammar,Exercise 3b,3,fill-in,Complète les phrases avec des produits.,"À la pâtisserie, j'aime acheter ___.",,,,,A2,shopping,011
tricolore-2-5th-edition,speaking,Exercise 4a,3,speaking-task,"À deux, posez des questions et répondez.",Est-ce que tu achètes souvent des bonbons ou du chocolat?,,,,(open-ended),A2,shopping,011
tricolore-2-5th-edition,grammar,Exercise 3a,4,fill-in,"Complète les phrases avec du, de la, etc.","À la boucherie, j'achète ___ viande (f) et ___ poulet (m).",,,,,A2,shopping,011
tricolore-2-5th-edition,speaking,Exercise 4a,4,speaking-task,"À deux, posez des questions et répondez.","Toi et tes copains, vous achetez beaucoup de magazines?",,,,(open-ended),A2,shopping,011
tricolore-2-5th-edition,speaking,Exercise 4a,5,speaking-task,"À deux, posez des questions et répondez.",Tu préfères les magazines sur le sport ou sur la musique?,,,,(open-ended),A2,shopping,011
tricolore-2-5th-edition,reading,Exercise 1,1,multiple-choice,Choisis les bons mots pour compléter les phrases.,"Au tabac, on vend ___.",des timbres,du pain,de la viande,des timbres,A2,shopping,012
tricolore-2-5th-edition,listening,Exercise 2a,1,fill-in,Complète la conversation avec la bonne forme du verbe vendre.,"Est-ce que vous (1) ___ des glaces ici, toute l'année?",,,,vendez,A2,shopping,012
tricolore-2-5th-edition,writing,Exercise 2c,1,short-answer,Trouve l'équivalent en français.,during the holidays,,,,pendant les vacances,A2,shopping,012
tricolore-2-5th-edition,reading,Exercise 1,2,multiple-choice,Choisis les bons mots pour compléter les phrases.,"Le samedi, je travaille à la librairie et je vends ___.",des bananes,des livres,du poisson,,A2,shopping,012
tricolore-2-5th-edition,listening,Exercise 2a,2,fill-in,Complète la conversation avec la bonne forme du verbe vendre.,"Je (2) ___ des glaces surtout en été, mais le reste de l'année, nous (3) ___ beaucoup d'autres choses, comme par exemple des hot-dogs et des frites.",,,,,A2,shopping,012
tricolore-2-5th-edition,writing,Exercise 2c,2,short-answer,Trouve l'équivalent en français.,mainly in summer,,,,surtout en été,A2,shopping,012
tricolore-2-5th-edition,reading,Exercise 1,3,multiple-choice,Choisis les bons mots pour compléter les phrases.,"À la boucherie, nous vendons ___.",des surligneurs,de la viande,du café,,A2,shopping,012
tricolore-2-5th-edition,listening,Exercise 2a,3,fill-in,Complète la conversation avec la bonne forme du verbe vendre.,"Je (2) ___ des glaces surtout en été, mais le reste de l'année, nous (3) ___ beaucoup d'autres choses, comme par exemple des hot-dogs et des frites.",,,,,A2,shopping,012
tricolore-2-5th-edition,writing,Exercise 2c,3,short-answer,Trouve l'équivalent en français.,a lot of other things,,,,beaucoup d'autres choses,A2,shopping,012
tricolore-2-5th-edition,reading,Exercise 1,4,multiple-choice,Choisis les bons mots pour compléter les phrases.,"À la pâtisserie, vous vendez ___.",du poisson,des éclairs,du pâté,,A2,shopping,012
tricolore-2-5th-edition,listening,Exercise 2a,4,fill-in,Complète la conversation avec la bonne forme du verbe vendre.,"Et toi, Julien, tu (4) ___ des hot-dogs et des frites aussi?",,,,,A2,shopping,012
tricolore-2-5th-edition,writing,Exercise 2c,4,short-answer,Trouve l'équivalent en français.,cold drinks,,,,des boissons froides,A2,shopping,012
tricolore-2-5th-edition,reading,Exercise 1,5,multiple-choice,Choisis les bons mots pour compléter les phrases.,"À la boulangerie, Mme Genêt vend ___.",des chaussettes,des petits pois,des croissants,,A2,shopping,012
tricolore-2-5th-edition,listening,Exercise 2a,5,fill-in,Complète la conversation avec la bonne forme du verbe vendre.,"Moi, non. Je ne (5) ___ pas de plats chauds. Je (6) ___ surtout des boissons froides.",,,,,A2,shopping,012
tricolore-2-5th-edition,writing,Exercise 2c,5,short-answer,Trouve l'équivalent en français.,sometimes,,,,quelquefois,A2,shopping,012
tricolore-2-5th-edition,reading,Exercise 1,6,multiple-choice,Choisis les bons mots pour compléter les phrases.,"Quand tu travailles à l'épicerie, tu vends ___.",des œufs,des cahiers,des ordinateurs,,A2,shopping,012
tricolore-2-5th-edition,listening,Exercise 2a,6,fill-in,Complète la conversation avec la bonne forme du verbe vendre.,"Moi, non. Je ne (5) ___ pas de plats chauds. Je (6) ___ surtout des boissons froides.",,,,,A2,shopping,012
tricolore-2-5th-edition,writing,Exercise 2c,6,short-answer,Trouve l'équivalent en français.,covered in sugar,,,,couvert de sucre,A2,shopping,012
tricolore-2-5th-edition,listening,Exercise 2a,7,fill-in,Complète la conversation avec la bonne forme du verbe vendre.,"Quelquefois, on (7) ___ aussi de la barbe à papa, mais je déteste ça, car à la fin je suis couvert de sucre!",,,,,A2,shopping,012
tricolore-2-5th-edition,reading,Exercise 4a,1,fill-in,Complète l'histoire avec la bonne forme du verbe.,Il (1 descendre) dans la rue et il (2 attendre) devant la maison de Calinette.,,,,descend,A2,shopping,013
tricolore-2-5th-edition,writing,Exercise 4b,1,writing-task,Écris une histoire: «Mangetout et la nouvelle charcuterie».,Écris une histoire: «Mangetout et la nouvelle charcuterie».,,,,(open-ended),B1,shopping,013
tricolore-2-5th-edition,reading,Exercise 4a,10,fill-in,Complète l'histoire avec la bonne forme du verbe.,"Qu'est-ce que vous (9 attendre)? C'est la nouvelle poissonnerie ici. Nous (10 attendre) l'arrivée du poisson. Ah, voilà!",,,,,A2,shopping,013
