book	page	status	orientation	content_type	level	section	qa	notes
conjugaison-a1-a2	001	verified	0	[cover]	A1+A2 (inferred)	cover	pass	
conjugaison-a1-a2	002	verified	0	[intro]	A1+A2 (inferred)	avant-propos	pass	
conjugaison-a1-a2	003	verified	0	[toc]	A1+A2 (inferred)	sommaire	pass	
conjugaison-a1-a2	004	verified	0	[toc, explanation, exercise]	A1 (inferred)	01-present-indicatif-etre-avoir	pass	
conjugaison-a1-a2	005	verified	270	[explanation, exercise]	A1+A2 (inferred)	01-le-present-de-lindicatif-etre	pass	
conjugaison-a1-a2	006	verified	0	[exercise, explanation]	A1+A2 (inferred)	01-le-present-de-l-indicatif-etre-avoir	pass	
conjugaison-a1-a2	007	verified	0	[exercise]	A1+A2 (inferred)	01-le-present-etre-et-avoir	pass	
conjugaison-a1-a2	008	verified	0	[explanation, exercise]	A1+A2 (inferred)	etre-et-avoir	pass	
conjugaison-a1-a2	009	verified	0	[exercise, explanation, bilan]	A1+A2 (inferred)	01-le-present-de-l-indicatif	pass	
conjugaison-a1-a2	010	verified	0	[explanation, exercise]	A1+A2 (inferred)	02-present-indicatif-verbes-er-reguliers	pass	
conjugaison-a1-a2	011	verified	270	[exercise, explanation]	A1+A2 (inferred)	02-le-present-de-lindicatif-verbes-en-er-reguliers	pass	
conjugaison-a1-a2	012	verified	0	[explanation, exercise]	A1+A2 (inferred)	02-le-present-de-lindicatif-des-verbes-en-er	pass	
conjugaison-a1-a2	013	verified	270	[explanation, exercise]	A1+A2 (inferred)	02-present-indicatif-verbes-er-particularites	pass	
conjugaison-a1-a2	014	verified	270	[explanation, exercise]	A1+A2 (inferred)	02-present-indicatif-verbes-er-particularites	pass	
conjugaison-a1-a2	015	verified	0	[exercise, explanation]	A1+A2 (inferred)	02-le-present-de-l-indicatif-des-verbes-en-er	pass	
conjugaison-a1-a2	016	transcribed	0	[bilan, explanation, exercise]	A1+A2 (inferred)	03-le-present-de-l-indicatif-de-certains-verbes-irreguliers	fail	
conjugaison-a1-a2	017	transcribed	0	[exercise]	A1+A2 (inferred)	les-verbes-faire-et-dire	pending	
conjugaison-a1-a2	018	verified	270	[explanation, exercise]	A1+A2 (inferred)	pouvoir-vouloir	pass	
