collection,section,part,item,item_type,instruction,question,option_a,option_b,option_c,option_d,option_e,correct_answer,level,topic,source_page
goethe-a1-fit1-exam-training-2,listening,1,1,multiple-choice,"Du hörst drei Nachrichten am Telefon. Zu jeder Nachricht gibt es Aufgaben. Kreuze an: a, b oder c. Du hörst jede Nachricht zweimal.",Nora kann nicht,zum Schulfest.,zum Schwimmen.,zum Reiten.,,,b,A1,hobby,009
goethe-a1-fit1-exam-training-2,listening,1,2,multiple-choice,"Du hörst drei Nachrichten am Telefon. Zu jeder Nachricht gibt es Aufgaben. Kreuze an: a, b oder c. Du hörst jede Nachricht zweimal.",Sie hat Zeit:,am Dienstag.,nächsten Donnerstag.,Dienstag in zwei Wochen.,,,a,A1,time-dates,009
goethe-a1-fit1-exam-training-2,listening,1,3,multiple-choice,"Du hörst drei Nachrichten am Telefon. Zu jeder Nachricht gibt es Aufgaben. Kreuze an: a, b oder c. Du hörst jede Nachricht zweimal.",Manuel kommt,mit dem Fahrrad.,mit dem Auto.,mit dem Bus.,,,b,A1,travel,010
goethe-a1-fit1-exam-training-2,listening,1,4,multiple-choice,"Du hörst drei Nachrichten am Telefon. Zu jeder Nachricht gibt es Aufgaben. Kreuze an: a, b oder c. Du hörst jede Nachricht zweimal.",Manuel bringt zu Monas Party mit:,einen Film.,etwas zu essen.,CDs.,,,c,A1,hobby,010
goethe-a1-fit1-exam-training-2,listening,1,5,multiple-choice,"Du hörst drei Nachrichten am Telefon. Zu jeder Nachricht gibt es Aufgaben. Kreuze an: a, b oder c. Du hörst jede Nachricht zweimal.",Paul,spielt Klavier.,spielt Gitarre.,singt.,,,a,A1,hobby,011
goethe-a1-fit1-exam-training-2,listening,1,6,multiple-choice,"Du hörst drei Nachrichten am Telefon. Zu jeder Nachricht gibt es Aufgaben. Kreuze an: a, b oder c. Du hörst jede Nachricht zweimal.",Die Musikschule ist,neben der Schule.,am Bahnhof.,am Marktplatz.,,,c,A1,city-places,011
goethe-a1-fit1-exam-training-2,listening,2,7,true-false,Du hörst zwei Gespräche. Zu jedem Gespräch gibt es Aufgaben. Kreuze an: richtig oder falsch. Du hörst jedes Gespräch zweimal.,Die Englischarbeit war ganz leicht.,Richtig,Falsch,,,,Falsch,A1,school,012
goethe-a1-fit1-exam-training-2,listening,2,8,true-false,Du hörst zwei Gespräche. Zu jedem Gespräch gibt es Aufgaben. Kreuze an: richtig oder falsch. Du hörst jedes Gespräch zweimal.,Florian will David helfen.,Richtig,Falsch,,,,Richtig,A1,school,012
goethe-a1-fit1-exam-training-2,listening,2,9,true-false,Du hörst zwei Gespräche. Zu jedem Gespräch gibt es Aufgaben. Kreuze an: richtig oder falsch. Du hörst jedes Gespräch zweimal.,Sie treffen sich am Wochenende.,Richtig,Falsch,,,,Richtig,A1,school,012
goethe-a1-fit1-exam-training-2,listening,2,10,true-false,Du hörst zwei Gespräche. Zu jedem Gespräch gibt es Aufgaben. Kreuze an: richtig oder falsch. Du hörst jedes Gespräch zweimal.,Sina und Claudia wohnen in Berlin.,Richtig,Falsch,,,,Falsch,A1,personal-info,013
goethe-a1-fit1-exam-training-2,listening,2,11,true-false,Du hörst zwei Gespräche. Zu jedem Gespräch gibt es Aufgaben. Kreuze an: richtig oder falsch. Du hörst jedes Gespräch zweimal.,Sina feiert heute ihren Geburtstag.,Richtig,Falsch,,,,Falsch,A1,personal-info,013
goethe-a1-fit1-exam-training-2,listening,2,12,true-false,Du hörst zwei Gespräche. Zu jedem Gespräch gibt es Aufgaben. Kreuze an: richtig oder falsch. Du hörst jedes Gespräch zweimal.,Sina ist an Weihnachten zu Hause.,Richtig,Falsch,,,,Richtig,A1,personal-info,013
goethe-a1-fit1-exam-training-2,reading,1,1,multiple-choice,"Lies bitte die zwei Anzeigen aus der Zeitung. Aufgaben 1 bis 6. Kreuze an: a, b oder c.",Der Junge in dem Film hat Probleme,mit seiner Mutter.,in der Schule.,mit seinen Freunden.,,,b,A1,school,017
goethe-a1-fit1-exam-training-2,reading,1,2,multiple-choice,"Lies bitte die zwei Anzeigen aus der Zeitung. Aufgaben 1 bis 6. Kreuze an: a, b oder c.",Die Schauspielerin Diane Kruger spielt in dem Film,die Direktorin.,eine Lehrerin.,die Mutter.,,,c,A1,family,017
goethe-a1-fit1-exam-training-2,reading,1,3,multiple-choice,"Lies bitte die zwei Anzeigen aus der Zeitung. Aufgaben 1 bis 6. Kreuze an: a, b oder c.",Du willst in dem Film mitspielen? Dann musst du,dich vorstellen.,eine E-Mail schreiben.,anrufen.,,,a,A1,communication,017
