collection,section,part,item,item_type,instruction,question,option_a,option_b,option_c,correct_answer,level,topic,source_page
goethe-a1-sd1-exam-training-1,listening,1,1,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Was kostet der Pullover?,Dreißig Euro.,Fünfundneunzig Euro.,Neunzehn Euro fünfundneunzig Cent.,c,A1,shopping,009
goethe-a1-sd1-exam-training-1,listening,1,2,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wie spät ist es?,15 Uhr.,Gleich 5 Uhr.,Halb 5 Uhr.,b,A1,time-dates,009
goethe-a1-sd1-exam-training-1,listening,1,3,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Was isst die Frau im Restaurant?,Pommes.,Fisch.,Wurst.,a,A1,restaurant,009
goethe-a1-sd1-exam-training-1,listening,1,4,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",In welche Klasse geht Frau Hegers Sohn?,In die neunte Klasse.,In die dritte Klasse.,In die vierte Klasse.,b,A1,school,010
goethe-a1-sd1-exam-training-1,listening,1,5,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wie kommt die Frau in den 2. Stock?,Mit dem Aufzug.,Auf der Treppe um die Ecke.,Mit der Rolltreppe.,a,A1,city-places,010
goethe-a1-sd1-exam-training-1,listening,1,6,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wohin fährt Herr Albers?,In Urlaub ans Meer.,Zur Arbeit.,Zur Familie.,c,A1,mixed,010
goethe-a1-sd1-exam-training-1,listening,2,7,true-false,Kreuzen Sie an: Richtig oder Falsch. Sie hören jeden Text einmal.,Die Kunden sollen die Weihnachtsfeier besuchen.,Richtig,Falsch,,Falsch,A1,shopping,011
goethe-a1-sd1-exam-training-1,listening,2,8,true-false,Kreuzen Sie an: Richtig oder Falsch. Sie hören jeden Text einmal.,Die Fahrgäste sollen sich im Restaurant treffen.,Richtig,Falsch,,Falsch,A1,travel,011
goethe-a1-sd1-exam-training-1,listening,2,9,true-false,Kreuzen Sie an: Richtig oder Falsch. Sie hören jeden Text einmal.,Die Fahrgäste sollen im Zug bleiben.,Richtig,Falsch,,Richtig,A1,travel,011
goethe-a1-sd1-exam-training-1,listening,2,10,true-false,Kreuzen Sie an: Richtig oder Falsch. Sie hören jeden Text einmal.,Der Herr soll sofort zum Schalter kommen.,Richtig,Falsch,,Richtig,A1,travel,011
goethe-a1-sd1-exam-training-1,listening,3,11,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Die Nummer ist:,11833.,11883.,12833.,a,A1,communication,012
