collection,word,article,plural,word_class,example,topic,source_page
netzwerk-a1-kursbuch,ab|fahren,,,verb,,travel,160
netzwerk-a1-kursbuch,an|fangen,,,verb,,none,160
netzwerk-a1-kursbuch,an|kommen,,,verb,,travel,160
netzwerk-a1-kursbuch,an|nehmen,,,verb,,none,160
netzwerk-a1-kursbuch,an|sehen,,,verb,,none,160
netzwerk-a1-kursbuch,an|ziehen,,,verb,,daily-routine,160
netzwerk-a1-kursbuch,auf|schreiben,,,verb,,none,160
netzwerk-a1-kursbuch,auf|stehen,,,verb,,daily-routine,160
netzwerk-a1-kursbuch,aus|gehen,,,verb,,hobby,160
netzwerk-a1-kursbuch,aus|sehen,,,verb,,none,160
netzwerk-a1-kursbuch,aus|steigen,,,verb,,travel,160
netzwerk-a1-kursbuch,aus|ziehen,,,verb,,none,160
netzwerk-a1-kursbuch,bekommen,,,verb,,none,160
netzwerk-a1-kursbuch,beschreiben,,,verb,,none,160
netzwerk-a1-kursbuch,bleiben,,,verb,,none,160
netzwerk-a1-kursbuch,bringen,,,verb,,none,160
netzwerk-a1-kursbuch,denken,,,verb,,none,160
netzwerk-a1-kursbuch,dran|kommen,,,verb,,none,160
netzwerk-a1-kursbuch,ein|fallen,,,verb,,none,160
netzwerk-a1-kursbuch,ein|geben,,,verb,,none,160
netzwerk-a1-kursbuch,ein|laden,,,verb,,none,160
netzwerk-a1-kursbuch,ein|schlafen,,,verb,,daily-routine,160
netzwerk-a1-kursbuch,ein|steigen,,,verb,,travel,160
netzwerk-a1-kursbuch,empfehlen,,,verb,,none,160
netzwerk-a1-kursbuch,erschließen,,,verb,,none,160
netzwerk-a1-kursbuch,essen,,,verb,,food,160
netzwerk-a1-kursbuch,fahren,,,verb,,travel,160
netzwerk-a1-kursbuch,fern|sehen,,,verb,,hobby,160
netzwerk-a1-kursbuch,finden,,,verb,,none,160
netzwerk-a1-kursbuch,fliegen,,,verb,,travel,160
netzwerk-a1-kursbuch,frei|haben,,,verb,,none,160
netzwerk-a1-kursbuch,geben,,,verb,,none,160
netzwerk-a1-kursbuch,gefallen,,,verb,,none,160
netzwerk-a1-kursbuch,gehen,,,verb,,none,160
netzwerk-a1-kursbuch,genießen,,,verb,,none,160
netzwerk-a1-kursbuch,heißen,,,verb,,none,160
netzwerk-a1-kursbuch,helfen,,,verb,,none,160
netzwerk-a1-kursbuch,hoch|fahren,,,verb,,none,160
netzwerk-a1-kursbuch,kennen,,,verb,,none,160
netzwerk-a1-kursbuch,klingen,,,verb,,none,160
netzwerk-a1-kursbuch,kommen,,,verb,,none,160
netzwerk-a1-kursbuch,laufen,,,verb,,none,160
netzwerk-a1-kursbuch,leid|tun,,,verb,,none,160
netzwerk-a1-kursbuch,lesen,,,verb,,none,160
netzwerk-a1-kursbuch,liegen,,,verb,,none,160
netzwerk-a1-kursbuch,los sein,,,phrase,,none,160
netzwerk-a1-kursbuch,los|fahren,,,verb,,travel,160
netzwerk-a1-kursbuch,los|gehen,,,verb,,none,160
netzwerk-a1-kursbuch,mit|bringen,,,verb,,none,160
netzwerk-a1-kursbuch,mit|kommen,,,verb,,none,160
netzwerk-a1-kursbuch,mit|lesen,,,verb,,none,160
netzwerk-a1-kursbuch,mit|nehmen,,,verb,,none,160
netzwerk-a1-kursbuch,dürfen,,,verb,,none,161
netzwerk-a1-kursbuch,haben,,,verb,,none,161
netzwerk-a1-kursbuch,können,,,verb,,none,161
netzwerk-a1-kursbuch,mit|sprechen,,,verb,,none,161
netzwerk-a1-kursbuch,möchten,,,verb,,none,161
netzwerk-a1-kursbuch,mögen,,,verb,,none,161
netzwerk-a1-kursbuch,müssen,,,verb,,none,161
netzwerk-a1-kursbuch,nach|sprechen,,,verb,,none,161
netzwerk-a1-kursbuch,nehmen,,,verb,,none,161
netzwerk-a1-kursbuch,nennen,,,verb,,none,161
netzwerk-a1-kursbuch,raten,,,verb,,none,161
netzwerk-a1-kursbuch,raus|gehen,,,verb,,none,161
netzwerk-a1-kursbuch,riechen,,,verb,,none,161
netzwerk-a1-kursbuch,scheinen,,,verb,,none,161
netzwerk-a1-kursbuch,schlafen,,,verb,,daily-routine,161
netzwerk-a1-kursbuch,schließen,,,verb,,none,161
netzwerk-a1-kursbuch,schneiden,,,verb,,none,161
netzwerk-a1-kursbuch,schreiben,,,verb,,none,161
netzwerk-a1-kursbuch,schwimmen,,,verb,,hobby,161
netzwerk-a1-kursbuch,sehen,,,verb,,none,161
netzwerk-a1-kursbuch,sein,,,verb,,none,161
netzwerk-a1-kursbuch,singen,,,verb,,hobby,161
netzwerk-a1-kursbuch,sitzen,,,verb,,none,161
netzwerk-a1-kursbuch,sollen,,,verb,,none,161
netzwerk-a1-kursbuch,sprechen,,,verb,,none,161
netzwerk-a1-kursbuch,statt|finden,,,verb,,none,161
