collection,section,part,item,item_type,question,option_a,option_b,option_c,correct_answer,level,topic,source_page
goethe-a1-sd1-exam-training-2,listening,1,1,multiple-choice,Wo gibt es Kleidung für Kinder?,Im 1. Stock.,Im 2. Stock.,Im 4. Stock.,b,A1,shopping,009
goethe-a1-sd1-exam-training-2,listening,1,2,multiple-choice,Was bestellt die Dame?,Hähnchen.,Fisch.,Salat.,c,A1,restaurant,009
goethe-a1-sd1-exam-training-2,listening,1,3,multiple-choice,Wie lange hat das Museum am Mittwoch geöffnet?,Bis 15 Uhr.,Bis 18 Uhr.,Bis 22 Uhr.,a,A1,city-places,009
goethe-a1-sd1-exam-training-2,listening,1,4,multiple-choice,Welchen Sport empfiehlt der Arzt?,Fahrrad fahren.,Fußball.,Laufen.,a,A1,health,010
goethe-a1-sd1-exam-training-2,listening,1,5,multiple-choice,Wo macht Familie Bauer Urlaub?,Am Meer.,Bei Verwandten.,Zu Hause.,b,A1,vacation,010
goethe-a1-sd1-exam-training-2,listening,1,6,multiple-choice,Wie lange dauert der Flug nach München?,30 Minuten.,45 Minuten.,50 Minuten.,c,A1,travel,010
goethe-a1-sd1-exam-training-2,listening,2,7,true-false,Die Fahrgäste sollen im Zug bleiben.,Richtig,Falsch,,Richtig,A1,travel,011
goethe-a1-sd1-exam-training-2,listening,2,8,true-false,Fluggäste nach Rom sollen zu Ausgang A7 kommen.,Richtig,Falsch,,Falsch,A1,travel,011
goethe-a1-sd1-exam-training-2,listening,2,9,true-false,Die Urlauber sollen um vier Uhr am Bus sein.,Richtig,Falsch,,Falsch,A1,vacation,011
goethe-a1-sd1-exam-training-2,listening,2,10,true-false,Der Vater von Mario soll sofort zur Information gehen.,Richtig,Falsch,,Richtig,A1,city-places,011
goethe-a1-sd1-exam-training-2,listening,3,11,multiple-choice,Wann soll Frau Krause anrufen?,Vor 13 Uhr.,Zwischen 13 und 18 Uhr.,Zwischen 18 und 19 Uhr.,b,A1,communication,012
goethe-a1-sd1-exam-training-2,listening,3,12,multiple-choice,Was möchte Nina heute Abend machen?,Einen Film sehen.,Lernen.,Zu Hause bleiben.,a,A1,communication,012
goethe-a1-sd1-exam-training-2,listening,3,13,multiple-choice,Was soll Sarah mitbringen?,Ein Deutschbuch.,Ein Wörterbuch.,Eine CD.,b,A1,communication,012
goethe-a1-sd1-exam-training-2,listening,3,14,multiple-choice,Wo wollen sich die Frauen mit Sabine treffen?,Beim Konzert.,Im Café.,In der Disco.,c,A1,communication,013
goethe-a1-sd1-exam-training-2,listening,3,15,multiple-choice,Wann will Herr Heinze Frau Solms treffen?,Um 12 Uhr.,Um 13 Uhr.,Um 18 Uhr.,b,A1,communication,013
goethe-a1-sd1-exam-training-2,reading,1,1,true-false,Renate macht in Weimar Urlaub.,Richtig,Falsch,,Falsch,A1,travel,016
goethe-a1-sd1-exam-training-2,reading,1,2,true-false,Sie möchte am Abend mit Nora zusammen essen.,Richtig,Falsch,,Richtig,A1,communication,016
goethe-a1-sd1-exam-training-2,reading,1,3,true-false,Die Sportsfreunde machen jeden Sommer einen Ausflug.,Richtig,Falsch,,Richtig,A1,hobby,017
goethe-a1-sd1-exam-training-2,reading,1,4,true-false,Der Bus wartet vor dem Vereinshaus.,Richtig,Falsch,,Richtig,A1,hobby,017
goethe-a1-sd1-exam-training-2,reading,1,5,true-false,Für die Fahrt und das Essen bezahlt jeder 10 Euro.,Richtig,Falsch,,Falsch,A1,hobby,017
goethe-a1-sd1-exam-training-2,reading,2,6,matching,Sie studieren in Frankfurt und möchten eine Wohnung mieten. Wo finden Sie Informationen?,www.goetheuni-frankfurt.de,www.agentur-spiess.com,,a,A1,home,018
goethe-a1-sd1-exam-training-2,reading,2,7,matching,Sie möchten wissen: Wie kommt man vom Hamburger Bahnhof zum Hamburger Flughafen?,www.flughafen-service.de,www.hh-flughafen.de,,b,A1,travel,019
goethe-a1-sd1-exam-training-2,reading,2,8,matching,Sie suchen ein Angebot für Ihre Urlaubsreise.,www.travel-münchen.de,www.lastminute.de,,b,A1,vacation,019
goethe-a1-sd1-exam-training-2,reading,2,9,matching,Sie suchen eine Wohnung für Ihren Urlaub.,www.st.peter.ording.de/mietwohnungen,www.ferienandernordsee.de,,b,A1,vacation,020
goethe-a1-sd1-exam-training-2,reading,2,10,matching,Sie arbeiten in Deutschland. In Ihrer Freizeit möchten Sie Fußball spielen.,www.goal.de,www.vereinssport.de,,b,A1,hobby,020
goethe-a1-sd1-exam-training-2,reading,3,11,true-false,Am Fahrkartenautomaten: Am Samstag können Sie und Ihre Freunde mit dem Ticket für 29 Euro fahren.,Richtig,Falsch,,Richtig,A1,travel,021
goethe-a1-sd1-exam-training-2,reading,3,12,true-false,Im Hotelzimmer: Nach 22 Uhr kommen Sie nicht mehr ins Hotel.,Richtig,Falsch,,Falsch,A1,city-places,022
goethe-a1-sd1-exam-training-2,reading,3,13,true-false,Eingang Restaurant: Am Sonntagmittag können Sie in diesem Restaurant essen.,Richtig,Falsch,,Richtig,A1,restaurant,022
goethe-a1-sd1-exam-training-2,reading,3,14,true-false,Im Kultur-Verein: Man kann diesen Samstagabend einen Film sehen.,Richtig,Falsch,,Richtig,A1,hobby,023
goethe-a1-sd1-exam-training-2,reading,3,15,true-false,Im Bahnhof: Fahrkarten können Sie an allen Schaltern bekommen.,Richtig,Falsch,,Falsch,A1,travel,023
goethe-a1-sd1-exam-training-2,writing,1,1,fill-in,Formular Sprachenschule LIGA / Anmeldung: Geburtsort:,,,,"Lyon / Lyon, Frankreich",A1,personal-info,024
goethe-a1-sd1-exam-training-2,writing,1,2,fill-in,Formular Sprachenschule LIGA / Anmeldung: Andere Sprachen:,,,,Englisch,A1,personal-info,024
