collection,section,part,item,item_type,instruction,question,option_a,option_b,option_c,correct_answer,level,topic,source_page
goethe-a1-fit1-exam-training-1,listening,1,1,multiple-choice,"Du hörst drei Nachrichten am Telefon. Zu jeder Nachricht gibt es Aufgaben. Kreuze an: a, b oder c. Du hörst jede Nachricht zweimal.",Julia bedankt sich für,ein Geburtstagsgeschenk.,Urlaubsfotos.,eine Postkarte.,c,A1,communication,009
goethe-a1-fit1-exam-training-1,listening,1,2,multiple-choice,"Du hörst drei Nachrichten am Telefon. Zu jeder Nachricht gibt es Aufgaben. Kreuze an: a, b oder c. Du hörst jede Nachricht zweimal.",Sie ruft wieder an:,in zwei Tagen.,morgen.,am Wochenende.,b,A1,communication,009
goethe-a1-fit1-exam-training-1,listening,1,3,multiple-choice,"Du hörst drei Nachrichten am Telefon. Zu jeder Nachricht gibt es Aufgaben. Kreuze an: a, b oder c. Du hörst jede Nachricht zweimal.",Karl hat Probleme,in Physik.,in Mathematik.,in Chemie.,b,A1,school,010
goethe-a1-fit1-exam-training-1,listening,1,4,multiple-choice,"Du hörst drei Nachrichten am Telefon. Zu jeder Nachricht gibt es Aufgaben. Kreuze an: a, b oder c. Du hörst jede Nachricht zweimal.",Er ist,bei einem Freund.,zu Hause.,in der Schule.,a,A1,daily-routine,010
goethe-a1-fit1-exam-training-1,listening,1,5,multiple-choice,"Du hörst drei Nachrichten am Telefon. Zu jeder Nachricht gibt es Aufgaben. Kreuze an: a, b oder c. Du hörst jede Nachricht zweimal.",Laura geht mit ihren Freunden,in ein Café.,zum Sport.,ins Kino.,c,A1,hobby,011
goethe-a1-fit1-exam-training-1,listening,1,6,multiple-choice,"Du hörst drei Nachrichten am Telefon. Zu jeder Nachricht gibt es Aufgaben. Kreuze an: a, b oder c. Du hörst jede Nachricht zweimal.",Der Film beginnt um,halb acht.,halb sieben.,acht.,a,A1,hobby,011
goethe-a1-fit1-exam-training-1,listening,2,7,true-false,Du hörst zwei Gespräche. Zu jedem Gespräch gibt es Aufgaben. Kreuze an: richtig oder falsch. Du hörst jedes Gespräch zweimal.,Ulla war nicht in der Schule.,Richtig,Falsch,,Falsch,A1,health,012
goethe-a1-fit1-exam-training-1,listening,2,8,true-false,Du hörst zwei Gespräche. Zu jedem Gespräch gibt es Aufgaben. Kreuze an: richtig oder falsch. Du hörst jedes Gespräch zweimal.,Christophs Bruder war letzte Woche auch krank.,Richtig,Falsch,,Richtig,A1,health,012
goethe-a1-fit1-exam-training-1,listening,2,9,true-false,Du hörst zwei Gespräche. Zu jedem Gespräch gibt es Aufgaben. Kreuze an: richtig oder falsch. Du hörst jedes Gespräch zweimal.,Christoph hat Kopfschmerzen.,Richtig,Falsch,,Falsch,A1,health,012
goethe-a1-fit1-exam-training-1,listening,2,10,true-false,Du hörst zwei Gespräche. Zu jedem Gespräch gibt es Aufgaben. Kreuze an: richtig oder falsch. Du hörst jedes Gespräch zweimal.,Markus möchte mit Bernd und Jens Chemie lernen.,Richtig,Falsch,,Richtig,A1,school,013
goethe-a1-fit1-exam-training-1,listening,2,11,true-false,Du hörst zwei Gespräche. Zu jedem Gespräch gibt es Aufgaben. Kreuze an: richtig oder falsch. Du hörst jedes Gespräch zweimal.,Jens trainiert am Donnerstag immer Fußball.,Richtig,Falsch,,Falsch,A1,hobby,013
goethe-a1-fit1-exam-training-1,listening,2,12,true-false,Du hörst zwei Gespräche. Zu jedem Gespräch gibt es Aufgaben. Kreuze an: richtig oder falsch. Du hörst jedes Gespräch zweimal.,Jens hat am Nachmittag Zeit.,Richtig,Falsch,,Richtig,A1,daily-routine,013
goethe-a1-fit1-exam-training-1,reading,1,1,multiple-choice,"Lies bitte die zwei Anzeigen aus der Zeitung. Aufgaben 1 bis 6. Kreuze an: a, b oder c.",Wo kannst du reisen?,In Deutschland und in Europa.,Nur in Deutschland.,In allen europäischen Städten.,b,A1,travel,017
goethe-a1-fit1-exam-training-1,reading,1,2,multiple-choice,"Lies bitte die zwei Anzeigen aus der Zeitung. Aufgaben 1 bis 6. Kreuze an: a, b oder c.",Wann kannst du reisen?,Immer im Sommer.,Das ganze Jahr.,Im Herbst.,c,A1,travel,017
goethe-a1-fit1-exam-training-1,reading,1,3,multiple-choice,"Lies bitte die zwei Anzeigen aus der Zeitung. Aufgaben 1 bis 6. Kreuze an: a, b oder c.",Wie viel kostet die Fahrkarte?,"29,– € für Deutschland.","29,– € für Europa.","29,– € für Hin- und Rückfahrt.",a,A1,travel,017
goethe-a1-fit1-exam-training-1,reading,1,4,multiple-choice,"Lies bitte die zwei Anzeigen aus der Zeitung. Aufgaben 1 bis 6. Kreuze an: a, b oder c.",Das ist eine Anzeige für,Privatschulen.,ein Auslandsschuljahr.,Sprachferien.,b,A1,school,017
goethe-a1-fit1-exam-training-1,reading,1,5,multiple-choice,"Lies bitte die zwei Anzeigen aus der Zeitung. Aufgaben 1 bis 6. Kreuze an: a, b oder c.",Für wen ist die Anzeige?,Für Eltern.,Für alle Kinder.,Für Schüler.,c,A1,school,017
goethe-a1-fit1-exam-training-1,reading,1,6,multiple-choice,"Lies bitte die zwei Anzeigen aus der Zeitung. Aufgaben 1 bis 6. Kreuze an: a, b oder c.",Mehr Informationen bekommt man,in der Zeitung.,im Internet.,in der Schule.,b,A1,communication,017
goethe-a1-fit1-exam-training-1,reading,2,7,true-false,In einer Zeitschrift findest du zwei Texte über Jugendliche in Deutschland. Lies bitte die Beschreibungen. Aufgaben 7 bis 12. Was ist richtig und was ist falsch?,Alexander wohnt mit seinen Großeltern in einem Haus.,Richtig,Falsch,,Richtig,A1,family,019
goethe-a1-fit1-exam-training-1,reading,2,8,true-false,In einer Zeitschrift findest du zwei Texte über Jugendliche in Deutschland. Lies bitte die Beschreibungen. Aufgaben 7 bis 12. Was ist richtig und was ist falsch?,Alexander hat nie Streit mit seinen Großeltern.,Richtig,Falsch,,Falsch,A1,family,019
goethe-a1-fit1-exam-training-1,reading,2,9,true-false,In einer Zeitschrift findest du zwei Texte über Jugendliche in Deutschland. Lies bitte die Beschreibungen. Aufgaben 7 bis 12. Was ist richtig und was ist falsch?,Alexander darf immer laut Musik hören.,Richtig,Falsch,,Falsch,A1,family,019
goethe-a1-fit1-exam-training-1,reading,2,10,true-false,In einer Zeitschrift findest du zwei Texte über Jugendliche in Deutschland. Lies bitte die Beschreibungen. Aufgaben 7 bis 12. Was ist richtig und was ist falsch?,Janina wohnt vielleicht bald in Stuttgart.,Richtig,Falsch,,Richtig,A1,family,019
goethe-a1-fit1-exam-training-1,reading,2,11,true-false,In einer Zeitschrift findest du zwei Texte über Jugendliche in Deutschland. Lies bitte die Beschreibungen. Aufgaben 7 bis 12. Was ist richtig und was ist falsch?,Janina ist Architektin.,Richtig,Falsch,,Falsch,A1,profession,019
goethe-a1-fit1-exam-training-1,reading,2,12,true-false,In einer Zeitschrift findest du zwei Texte über Jugendliche in Deutschland. Lies bitte die Beschreibungen. Aufgaben 7 bis 12. Was ist richtig und was ist falsch?,Janina hat einen arbeitslosen Vater.,Richtig,Falsch,,Richtig,A1,family,019
goethe-a1-fit1-exam-training-1,writing,,1,open-ended,Du hast diese E-Mail bekommen. Antworte auf die E-Mail und die Frage am Ende. Schreibe mindestens 30 Wörter. Schreibe bitte nicht mit Bleistift.,"Antworte auf die E-Mail und die Frage am Ende. Schreibe mindestens 30 Wörter. Schreibe bitte nicht mit Bleistift. Guten Tag! Ich heiße Natascha und bin 16 Jahre alt. Ich wohne in Nowosibirsk und lerne schon seit 4 Jahren Deutsch. Meine Hobbys sind Bücher, Deutsch und Katzen. Wer ist 12 bis 15 Jahre alt und schreibt mir? Ich freue mich über Briefe auf Deutsch aus der ganzen Welt! Hoffentlich bis bald! natascha.jeremenko@mail.ru",,,,(open-ended),A1,communication,022
goethe-a1-fit1-exam-training-1,speaking,1,1,open-ended,Sich vorstellen.,Sich vorstellen. Wortkarte mit folgenden Stichwörtern: Name? Alter? Land? Wohnort? Schule? Sprachen? Hobby?,,,,(open-ended),A1,personal-info,025
goethe-a1-fit1-exam-training-1,speaking,2,Wohnen,open-ended,Fragen stellen und auf Fragen antworten.,"Fragen stellen und auf Fragen antworten. Thema: Wohnen. Handlungskarten mit je einem Begriff (Beispielkarte: Buch): Familie, Haustier, Computer, Garten, Freundinnen/Freunde einladen, spielen.",,,,(open-ended),A1,home,027
