collection,unit,section,chapter,content_type,activity_type,topic,level,status,qa,word_count,summary,title
tricolore-1-5th-edition,page-001,none,,[cover],cover,none,mixed,verified,pass,11,"Front cover of Tricolore 1, 5th edition, listing the three authors.",Tricolore
tricolore-1-5th-edition,page-002,none,,[intro],none,none,,verified,pass,13,Blank page.,
tricolore-1-5th-edition,page-003,none,,[cover],cover,none,,verified,pass,13,"Title page repeating book title, edition, authors, and Oxford University Press.",Tricolore
tricolore-1-5th-edition,page-004,none,,[intro],none,none,,verified,pass,361,"Copyright, publication history, and acknowledgements for the 5th edition.",OXFORD
tricolore-1-5th-edition,page-005,none,,"[picture-story, vocabulary]",vocabulary,travel,A1,verified,pass,294,"Illustrated map of France with neighbouring countries, cities, rivers, and mountains.",A1 (inferred)
tricolore-1-5th-edition,page-006,none,,[toc],none,none,mixed,verified,pass,929,"Table of contents for Unites 1-3: greetings, numbers, family, home.",Table des matières
tricolore-1-5th-edition,page-007,none,,[toc],none,none,mixed,verified,pass,880,"Table of contents continued for Unites 4-8: animals, festivals, weather, school.",A1 (inferred)
tricolore-1-5th-edition,page-008,none,,[toc],none,none,mixed,verified,pass,843,"Table of contents continued for Unites 9-10 plus Au choix, Grammaire, Glossaire sections.",Table des matières
tricolore-1-5th-edition,page-009,none,,"[intro, instructions]",instructions,none,,verified,pass,506,"Explains the course's icons: Dossier-langue, Strategies, Phonetique, Sommaire, Glossaire.",Course information
tricolore-1-5th-edition,page-010,listening,Unité 1,"[chapter-opener, exercise, dialogue]",listening-comprehension,personal-info,A1,verified,pass,254,"Greeting dialogues to repeat, plus a listening task on how six people are feeling.",unité 1 Bonjour!
tricolore-1-5th-edition,page-011,speaking,Unité 1,"[exercise, dialogue, speaking-prompt, grammar-box]",fill-in,personal-info,A1,transcribed,fail,579,Pair speaking on ages using a number diagram; fill-in greeting conversation practice.,"(running header, top right) 1 Bonjour!"
tricolore-1-5th-edition,page-012,vocabulary,Unité 1,"[exercise, vocabulary, grammar-box]",listening-comprehension,school,A1,verified,pass,481,"Listening exercises identifying classroom objects by letter/number, with gender practice.",1B Qu'est-ce que c'est?
tricolore-1-5th-edition,page-013,writing,Unité 1,"[exercise, grammar-box, instructions]",fill-in,school,mixed,verified,pass,436,Fill-in exercises describing schoolbag contents; plural nouns and cognate pronunciation.,1 Bonjour!
tricolore-1-5th-edition,page-014,writing,Unité 1,"[lesson, exercise, grammar-box, vocabulary]",matching,school,mixed,verified,pass,475,Match classroom commands to pictures and to English translations; imperatives explained.,1C En classe
tricolore-1-5th-edition,page-015,none,Unité 1,"[song, vocabulary, review]",vocabulary,mixed,A1,verified,pass,666,"Unit 1 summary: counting song, greetings, numbers, classroom commands and objects vocabulary.",Sommaire
tricolore-1-5th-edition,page-016,reading,Unité 2,"[chapter-opener, lesson, reading-text, picture-story]",reading-comprehension,personal-info,A1,verified,pass,343,"Eight people describe, with photos, where they live across France and nearby countries.",unité 2 J'habite ici
tricolore-1-5th-edition,page-017,reading,Unité 2,"[exercise, grammar-box, instructions]",true-false,personal-info,A1,verified,pass,374,True/false statements and translation practice about where people live in France.,2 J'habite ici
tricolore-1-5th-edition,page-018,writing,Unité 2,"[lesson, exercise, grammar-box, dialogue]",fill-in,personal-info,A1,verified,pass,400,"Fill-in sentences and a paired dialogue practising where you live, using prepositions.",2B Où habites-tu?
tricolore-1-5th-edition,page-019,listening,2 J'habite ici,"[exercise, vocabulary, dialogue, lesson, instructions]",matching,personal-info,A1,verified,pass,500,"Matching names to house numbers and personal details; dialogue practice with names, ages, places.",2 J'habite ici
tricolore-1-5th-edition,page-020,reading,2C Comment ça s'écrit?,"[chapter-opener, reading-text, exercise, vocabulary, song, picture-story]",reading-comprehension,time-dates,A1,verified,pass,465,A reporter's week across countries; select true statements; days-of-week matching; alphabet song.,2C Comment ça s'écrit?
tricolore-1-5th-edition,page-021,writing,2 J'habite ici,"[exercise, instructions, vocabulary, wordlist]",vocabulary,mixed,A1,verified,pass,696,"Unit 2 summary: spelling dialogue, city-name listening, alphabet, days of week, numbers to 30.",Sommaire
tricolore-1-5th-edition,page-022,reading,unité 3 Chez moi,"[chapter-opener, exercise, grammar-box, vocabulary]",reading-comprehension,family,A1,verified,pass,460,Reading text introducing the Laurent family; identify-the-speaker and family-vocabulary fill-in.,unité 3 Chez moi
tricolore-1-5th-edition,page-023,reading,3 Chez moi,"[exercise, picture-story, dialogue, vocabulary, grammar-box, lesson, instructions]",true-false,family,A1,verified,pass,568,"Dialogues on family types (only child, step-family) with true/false and avoir-verb exercises.",3 Chez moi
tricolore-1-5th-edition,page-024,writing,3B C'est à qui?,"[exercise, grammar-box, vocabulary, dialogue]",fill-in,personal-info,A1,verified,pass,591,Vampire-family cartoon fill-ins practising possessives mon/ma/mes and ton/ta/tes.,3B C'est à qui?
tricolore-1-5th-edition,page-025,listening,3 Chez moi,"[picture-story, exercise, grammar-box, dialogue, instructions]",multiple-choice,family,A1,verified,pass,503,Comic strip about a brother's belongings; choose-the-correct-sentence exercise using de (possession).,3 Chez moi
tricolore-1-5th-edition,page-026,writing,3C Ma maison,"[reading-text, exercise, grammar-box, writing-prompt, instructions]",true-false,family,A1,verified,pass,510,Pen-pal messages about family and friends; true/false and etre-verb fill-in exercises.,3C Ma maison
tricolore-1-5th-edition,page-027,reading,3 Chez moi,"[exercise, reading-text, vocabulary, instructions]",matching,home,A1,verified,pass,542,Floor-plan reading and matching exercises naming rooms of the Laurent family's house.,3 Chez moi
tricolore-1-5th-edition,page-028,writing,3D C'est où?,"[reading-text, exercise, grammar-box, instructions]",fill-in,home,A1,verified,pass,529,"Reading text about a shared bedroom; fill-in exercise practising sur, sous, dans.",3D C'est où?
tricolore-1-5th-edition,page-029,grammar,3 Chez moi,"[grammar-box, exercise, writing-prompt, instructions]",matching,home,A1,verified,pass,521,Matching exercise locating a fantastical family's belongings; gender-agreement grammar practice.,3 Chez moi
tricolore-1-5th-edition,page-030,reading,3E Une famille fantastique,"[song, exercise, vocabulary, instructions]",true-false,family,A1,verified,pass,353,Comic poem about an extraordinary family; true/false and fill-in comprehension exercises.,3E Une famille fantastique
