collection,section,teil,item,item_type,question,option_a,option_b,option_c,correct_answer,topic,source_page
goyal-a1-young-learners,vocabulary,Übung 1,1,multiple-choice,Was ist richtig? Kreuz an.,Gruß dich!,Grüß dich!,Grüß dick!,Grüß dich!,communication,007
goyal-a1-young-learners,vocabulary,Übung 2,1,ordering,Welche Begrüßung steckt dahinter? Bringe die Buchstaben in die richtige Reihenfolge: TUENG GAT!,,,,Guten Tag,communication,007
goyal-a1-young-learners,vocabulary,Übung 1,2,multiple-choice,Was ist richtig? Kreuz an.,Hello!,Hallo!,Hallow!,Hallo!,communication,007
goyal-a1-young-learners,vocabulary,Übung 2,2,ordering,Welche Begrüßung steckt dahinter? Bringe die Buchstaben in die richtige Reihenfolge: OLLAH!,,,,Hallo,communication,007
goyal-a1-young-learners,vocabulary,Übung 1,3,multiple-choice,Was ist richtig? Kreuz an.,Tscüs!,Tschusz!,Tschüs!,Tschüs!,communication,007
goyal-a1-young-learners,vocabulary,Übung 2,3,ordering,Welche Begrüßung steckt dahinter? Bringe die Buchstaben in die richtige Reihenfolge: UAF DERWIESEHNE!,,,,Auf Wiedersehen,communication,007
goyal-a1-young-learners,vocabulary,Übung 1,4,multiple-choice,Was ist richtig? Kreuz an.,Guten Tag!,Guden Tag!,Gooden Tag!,Guten Tag!,communication,007
goyal-a1-young-learners,vocabulary,Übung 2,4,ordering,Welche Begrüßung steckt dahinter? Bringe die Buchstaben in die richtige Reihenfolge: CHÜSST!,,,,Tschüs,communication,007
goyal-a1-young-learners,vocabulary,Übung 1,5,multiple-choice,Was ist richtig? Kreuz an.,Auf Wien!,Auf wieder Sehen!,Auf Wiedersehen!,Auf Wiedersehen!,communication,007
goyal-a1-young-learners,vocabulary,Übung 2,5,ordering,Welche Begrüßung steckt dahinter? Bringe die Buchstaben in die richtige Reihenfolge: RÜßG CHID!,,,,Grüß dich,communication,007
goyal-a1-young-learners,schreiben,Übung 3,1,short-answer,Wie begrüßt du diese Personen? Wie verabschiedest du diese Personen? — Deine Freundin Lisa,,,,,communication,008
goyal-a1-young-learners,vocabulary,Übung 4,1,fill-in,Wie begrüßt man sich im Verlauf des Tages? — 06:30,,,,Guten Morgen!,communication,008
goyal-a1-young-learners,lesen,Übung 5,1,matching,Verbinde die Fragen mit den passenden Antworten: Wie heißt du?,,,,b. Ich heiße Timo.,personal-info,008
goyal-a1-young-learners,schreiben,Übung 3,2,short-answer,Wie begrüßt du diese Personen? Wie verabschiedest du diese Personen? — Deinen Deutschlehrer Herrn Scholz,,,,,communication,008
