collection,section,part,item,item_type,question,option_a,option_b,option_c,correct_answer,level,topic,source_page
tricolore-2-5th-edition,listening,Exercise 1,1,fill-in,"Elle vend toutes sortes de pains, des gâteaux, des tartes, des chocolats et aussi (1) ___.",,,,des glaces,A2,shopping,010
tricolore-2-5th-edition,listening,Exercise 1,2,fill-in,Bien sûr. J'ai des croissants et (2) ___.,,,,,A2,shopping,010
tricolore-2-5th-edition,listening,Exercise 1,3,fill-in,"Je vais acheter (3) ___ pour ce soir. Je prends 500g de steak, s'il vous plaît.",,,,,A2,shopping,010
tricolore-2-5th-edition,listening,Exercise 1,4,fill-in,"À la charcuterie, on peut acheter du jambon, du saucisson et (4) ___.",,,,,A2,shopping,010
tricolore-2-5th-edition,listening,Exercise 1,5,fill-in,"Il y a du sucre, de l'eau minérale, (5) ___, du beurre et (6) ___.",,,,,A2,shopping,010
tricolore-2-5th-edition,listening,Exercise 1,6,fill-in,"Il y a du sucre, de l'eau minérale, (5) ___, du beurre et (6) ___.",,,,,A2,shopping,010
tricolore-2-5th-edition,listening,Exercise 1,7,fill-in,"Ici, on vend des livres, (7) ___ et des magazines.",,,,,A2,shopping,010
tricolore-2-5th-edition,listening,Exercise 1,8,fill-in,"Ah bon, je veux acheter (8) ___ au tabac.",,,,,A2,shopping,010
tricolore-2-5th-edition,listening,Exercise 2,1,ordering,On va dans quels magasins? Mets les magasins dans le bon ordre.,,,,,A2,shopping,011
tricolore-2-5th-edition,grammar,Exercise 3a,1,fill-in,"À l'épicerie, j'achète ___ beurre (m) et ___ eau minérale.",,,,du; de l',A2,shopping,011
tricolore-2-5th-edition,grammar,Exercise 3b,1,fill-in,"Au tabac, on peut acheter ___.",,,,des timbres,A2,shopping,011
tricolore-2-5th-edition,speaking,Exercise 4a,1,speaking-task,Qu'est-ce que tu préfères comme fruits?,,,,(open-ended),A2,shopping,011
tricolore-2-5th-edition,writing,Exercise 4b,1,writing-task,Écris un paragraphe avec tes réponses.,,,,(open-ended),B1,shopping,011
tricolore-2-5th-edition,grammar,Exercise 3a,2,fill-in,"À la boulangerie, on achète ___ baguettes.",,,,,A2,shopping,011
tricolore-2-5th-edition,grammar,Exercise 3b,2,fill-in,"À la librairie-papeterie, on achète ___.",,,,,A2,shopping,011
tricolore-2-5th-edition,speaking,Exercise 4a,2,speaking-task,Qu'est-ce que tu préfères comme légumes?,,,,(open-ended),A2,shopping,011
tricolore-2-5th-edition,grammar,Exercise 3a,3,fill-in,"À la charcuterie, on vend ___ jambon (m) et ___ salade (f) de tomates.",,,,,A2,shopping,011
tricolore-2-5th-edition,grammar,Exercise 3b,3,fill-in,"À la pâtisserie, j'aime acheter ___.",,,,,A2,shopping,011
tricolore-2-5th-edition,speaking,Exercise 4a,3,speaking-task,Est-ce que tu achètes souvent des bonbons ou du chocolat?,,,,(open-ended),A2,shopping,011
tricolore-2-5th-edition,grammar,Exercise 3a,4,fill-in,"À la boucherie, j'achète ___ viande (f) et ___ poulet (m).",,,,,A2,shopping,011
tricolore-2-5th-edition,speaking,Exercise 4a,4,speaking-task,"Toi et tes copains, vous achetez beaucoup de magazines?",,,,(open-ended),A2,shopping,011
tricolore-2-5th-edition,speaking,Exercise 4a,5,speaking-task,Tu préfères les magazines sur le sport ou sur la musique?,,,,(open-ended),A2,shopping,011
tricolore-2-5th-edition,reading,Exercise 1,1,multiple-choice,"Au tabac, on vend ___.",des timbres,du pain,de la viande,des timbres,A2,shopping,012
tricolore-2-5th-edition,listening,Exercise 2a,1,fill-in,"Est-ce que vous (1) ___ des glaces ici, toute l'année?",,,,vendez,A2,shopping,012
tricolore-2-5th-edition,writing,Exercise 2c,1,short-answer,during the holidays,,,,pendant les vacances,A2,shopping,012
tricolore-2-5th-edition,reading,Exercise 1,2,multiple-choice,"Le samedi, je travaille à la librairie et je vends ___.",des bananes,des livres,du poisson,,A2,shopping,012
tricolore-2-5th-edition,listening,Exercise 2a,2,fill-in,"Je (2) ___ des glaces surtout en été, mais le reste de l'année, nous (3) ___ beaucoup d'autres choses, comme par exemple des hot-dogs et des frites.",,,,,A2,shopping,012
tricolore-2-5th-edition,writing,Exercise 2c,2,short-answer,mainly in summer,,,,surtout en été,A2,shopping,012
tricolore-2-5th-edition,reading,Exercise 1,3,multiple-choice,"À la boucherie, nous vendons ___.",des surligneurs,de la viande,du café,,A2,shopping,012
tricolore-2-5th-edition,listening,Exercise 2a,3,fill-in,"Je (2) ___ des glaces surtout en été, mais le reste de l'année, nous (3) ___ beaucoup d'autres choses, comme par exemple des hot-dogs et des frites.",,,,,A2,shopping,012
tricolore-2-5th-edition,writing,Exercise 2c,3,short-answer,a lot of other things,,,,beaucoup d'autres choses,A2,shopping,012
tricolore-2-5th-edition,reading,Exercise 1,4,multiple-choice,"À la pâtisserie, vous vendez ___.",du poisson,des éclairs,du pâté,,A2,shopping,012
tricolore-2-5th-edition,listening,Exercise 2a,4,fill-in,"Et toi, Julien, tu (4) ___ des hot-dogs et des frites aussi?",,,,,A2,shopping,012
tricolore-2-5th-edition,writing,Exercise 2c,4,short-answer,cold drinks,,,,des boissons froides,A2,shopping,012
tricolore-2-5th-edition,reading,Exercise 1,5,multiple-choice,"À la boulangerie, Mme Genêt vend ___.",des chaussettes,des petits pois,des croissants,,A2,shopping,012
tricolore-2-5th-edition,listening,Exercise 2a,5,fill-in,"Moi, non. Je ne (5) ___ pas de plats chauds. Je (6) ___ surtout des boissons froides.",,,,,A2,shopping,012
tricolore-2-5th-edition,writing,Exercise 2c,5,short-answer,sometimes,,,,quelquefois,A2,shopping,012
tricolore-2-5th-edition,reading,Exercise 1,6,multiple-choice,"Quand tu travailles à l'épicerie, tu vends ___.",des œufs,des cahiers,des ordinateurs,,A2,shopping,012
tricolore-2-5th-edition,listening,Exercise 2a,6,fill-in,"Moi, non. Je ne (5) ___ pas de plats chauds. Je (6) ___ surtout des boissons froides.",,,,,A2,shopping,012
tricolore-2-5th-edition,writing,Exercise 2c,6,short-answer,covered in sugar,,,,couvert de sucre,A2,shopping,012
tricolore-2-5th-edition,listening,Exercise 2a,7,fill-in,"Quelquefois, on (7) ___ aussi de la barbe à papa, mais je déteste ça, car à la fin je suis couvert de sucre!",,,,,A2,shopping,012
tricolore-2-5th-edition,reading,Exercise 4a,1,fill-in,Il (1 descendre) dans la rue et il (2 attendre) devant la maison de Calinette.,,,,descend,A2,shopping,013
tricolore-2-5th-edition,writing,Exercise 4b,1,writing-task,Écris une histoire: «Mangetout et la nouvelle charcuterie».,,,,(open-ended),B1,shopping,013
tricolore-2-5th-edition,reading,Exercise 4a,10,fill-in,"Qu'est-ce que vous (9 attendre)? C'est la nouvelle poissonnerie ici. Nous (10 attendre) l'arrivée du poisson. Ah, voilà!",,,,,A2,shopping,013
tricolore-2-5th-edition,reading,Exercise 4a,2,fill-in,Il (1 descendre) dans la rue et il (2 attendre) devant la maison de Calinette.,,,,,A2,shopping,013
tricolore-2-5th-edition,reading,Exercise 4a,3,fill-in,"Il appelle Calinette, mais elle ne (3 répondre) pas. C'est curieux, ça!",,,,,A2,shopping,013
tricolore-2-5th-edition,reading,Exercise 4a,4,fill-in,"Il (4 attendre) encore un peu. Soudain, deux ou trois chats (5 descendre) la rue, très vite. Mangetout demande où ils vont, mais ils ne (6 répondre) pas.",,,,,A2,shopping,013
