collection,unit,section,content_type,activity_type,topic,level,status,qa,word_count,summary,title
netzwerk-a1-test-booklet,page-001,,[cover],cover,none,A1,verified,pass,103,Cover of Netzwerk neu A1 Testheft with audio and digital-access info.,Netzwerk neu
netzwerk-a1-test-booklet,page-002,,[intro],none,none,A1,verified,pass,194,"Imprint: authors, publisher, ISBN, copyright and Indian distribution details.","Autorinnen: Karin Ransberger, Margret Rodi, Kirsten Althaus"
netzwerk-a1-test-booklet,page-003,,"[toc, intro]",none,none,A1,verified,pass,234,Table of contents plus legend of the symbols used in the booklet.,Inhalt
netzwerk-a1-test-booklet,page-004,,"[intro, instructions]",instructions,none,A1,verified,pass,359,"Introduction: who the tests are for, structure, scoring and grading scale.",Einleitung
netzwerk-a1-test-booklet,page-005,,[toc],none,none,A1,verified,pass,347,Overview mapping each test task to Start Deutsch 1 and OeSD exam formats.,Prüfungsaufgaben im Testheft
netzwerk-a1-test-booklet,page-006,,"[exercise, listening-sheet]",listening-comprehension,personal-info,A1,verified,pass,298,"Chapter 1 greetings: listening multiple-choice, true/false, and question-word gap-fill.",1 · Guten Tag!
netzwerk-a1-test-booklet,page-007,,[exercise],fill-in,personal-info,A1,verified,pass,174,"Chapter 1: reorder sentences, conjugate verbs, match countries and languages.",Guten Tag! 1
netzwerk-a1-test-booklet,page-008,,"[exercise, reading-text, writing-prompt, instructions]",fill-in,personal-info,A1,verified,pass,120,Chapter 1: read profiles to note info; fill a course registration form.,1 Guten Tag!
netzwerk-a1-test-booklet,page-009,,"[chapter-opener, exercise, listening-sheet, vocabulary]",listening-comprehension,profession,A1,verified,pass,290,"Chapter 2: listening true/false, correct phone numbers, and odd-one-out vocabulary.","Freunde, Kollegen und ich    2"
netzwerk-a1-test-booklet,page-010,,[exercise],fill-in,profession,A1,verified,pass,202,"Chapter 2: form yes/no questions, conjugate verbs, articles and plural forms.","2 Freunde, Kollegen und ich"
netzwerk-a1-test-booklet,page-011,,"[exercise, writing-prompt, speaking-prompt]",fill-in,personal-info,A1,verified,pass,152,Chapter 2: fill a yoga-course registration form; speaking task introducing yourself.,"Freunde, Kollegen und ich&emsp;&emsp;2"
netzwerk-a1-test-booklet,page-012,,"[chapter-opener, listening-sheet, exercise, reading-text]",listening-comprehension,city-places,A1,verified,pass,283,"Chapter 3 Hamburg: listening notes, listening choice, and reading gap-fill.",3 In Hamburg
netzwerk-a1-test-booklet,page-013,,[exercise],fill-in,city-places,A1,verified,pass,278,"Chapter 3: crossword, choose ein/kein articles, write imperative directions.",In Hamburg  3
