collection,word,translation,article,plural,word_class,example,topic,source_page
tricolore-2-5th-edition,'envoi','return',,,noun,,none,154
tricolore-2-5th-edition,(à) mon avis,(in) my opinion,,,phrase,,none,154
tricolore-2-5th-edition,aider à la maison,helping at home,,,phrase,,none,154
tricolore-2-5th-edition,allumer,to switch on,,,verb,,none,154
tricolore-2-5th-edition,apprendre (par cœur),to learn (by heart),,,verb,,none,154
tricolore-2-5th-edition,argent,money,l',,noun,,shopping,154
tricolore-2-5th-edition,bic (m),biro,,,noun,,none,154
tricolore-2-5th-edition,boissons,drinks,les,,noun,,food,154
tricolore-2-5th-edition,brancher,to plug in,,,verb,,none,154
tricolore-2-5th-edition,cahier (m),exercise book,,,noun,,school,154
tricolore-2-5th-edition,calculatrice (f),calculator,,,noun,,school,154
tricolore-2-5th-edition,cartable (m),school bag,,,noun,,school,154
tricolore-2-5th-edition,carte (f),card,,,noun,,none,154
tricolore-2-5th-edition,casse-croûtes,snacks,les,,noun,,food,154
tricolore-2-5th-edition,chaise (f),chair,,,noun,,none,154
tricolore-2-5th-edition,charger,to load,,,verb,,none,154
tricolore-2-5th-edition,chercher dans le dictionnaire,to look up in a dictionary,,,verb,,school,154
tricolore-2-5th-edition,chez une famille,staying with a family,,,phrase,,family,154
tricolore-2-5th-edition,choisir,to choose,,,verb,,none,154
tricolore-2-5th-edition,classeur (m),file,,,noun,,communication,154
tricolore-2-5th-edition,clavier (m),keyboard,,,noun,,communication,154
tricolore-2-5th-edition,cliquer sur la souris,to click on the mouse,,,verb,,communication,154
tricolore-2-5th-edition,clé USB (f),memory stick,,,noun,,none,154
tricolore-2-5th-edition,commencer,to begin,,,verb,,none,154
tricolore-2-5th-edition,corriger,to correct,,,verb,,none,154
tricolore-2-5th-edition,couper-coller,to cut and paste,,,verb,,none,154
tricolore-2-5th-edition,curseur (m),cursor,,,noun,,communication,154
tricolore-2-5th-edition,descriptions,descriptions,les,,noun,,none,154
tricolore-2-5th-edition,dessiner,"to draw, design",,,verb,,none,154
tricolore-2-5th-edition,deviner,to guess,,,verb,,none,154
tricolore-2-5th-edition,distractions,leisure events,les,,noun,,hobby,154
tricolore-2-5th-edition,distribuer,to give out,,,verb,,none,154
tricolore-2-5th-edition,effacer,to rub out,,,verb,,none,154
tricolore-2-5th-edition,en classe,in school,,,phrase,,school,154
tricolore-2-5th-edition,en ligne,on line,,,phrase,,none,154
tricolore-2-5th-edition,en voyage,travel in general,,,phrase,,none,154
tricolore-2-5th-edition,encore une fois,once more,,,phrase,,none,154
tricolore-2-5th-edition,essayer,to try,,,verb,,none,154
tricolore-2-5th-edition,excursion,a day out,une,,noun,,vacation,154
tricolore-2-5th-edition,expliquer,to explain,,,verb,,none,154
tricolore-2-5th-edition,famille,the family,la,,noun,,family,154
tricolore-2-5th-edition,fermer,to shut down,,,verb,,none,154
tricolore-2-5th-edition,feutre (m),felt-tip pen,,,noun,,none,154
tricolore-2-5th-edition,fichier (m),file,,,noun,,communication,154
tricolore-2-5th-edition,finir,to finish,,,verb,,none,154
tricolore-2-5th-edition,gagner,to win,,,verb,,none,154
tricolore-2-5th-edition,glaces,ice cream,les,,noun,,none,154
tricolore-2-5th-edition,gomme (f),rubber,,,noun,,school,154
tricolore-2-5th-edition,imprimante (f),printer,,,noun,,communication,154
tricolore-2-5th-edition,informatique (f),ICT,l',,noun,,none,154
tricolore-2-5th-edition,iPod (m),iPod,,,noun,,none,154
tricolore-2-5th-edition,lecteur CD (m),CD player,,,noun,,none,154
tricolore-2-5th-edition,lecteur MP3 (m),MP3 player,,,noun,,none,154
tricolore-2-5th-edition,lecture,reading,la,,noun,,hobby,154
tricolore-2-5th-edition,lien (m),link,,,noun,,communication,154
tricolore-2-5th-edition,magasins,shops,les,,noun,,shopping,154
tricolore-2-5th-edition,marquer,to highlight,,,verb,,none,154
tricolore-2-5th-edition,match,a sports match,un,,noun,,hobby,154
tricolore-2-5th-edition,matières scolaires,school subjects,les,,noun,,school,154
tricolore-2-5th-edition,matériel scolaire,school materials,le,,noun,,school,154
tricolore-2-5th-edition,menu (m),menu,,,noun,,restaurant,154
tricolore-2-5th-edition,message (m),message,,,noun,,communication,154
tricolore-2-5th-edition,mettre dans le bon ordre,to put in the right order,,,verb,,none,154
tricolore-2-5th-edition,moniteur (m),monitor,,,noun,,none,154
tricolore-2-5th-edition,mot de passe (m),password,,,noun,,communication,154
tricolore-2-5th-edition,noter,to make a note of,,,verb,,none,154
tricolore-2-5th-edition,on sort,going out,,,phrase,,none,154
tricolore-2-5th-edition,ordinateur (m),computer,,,noun,,communication,154
tricolore-2-5th-edition,oublier,to forget,,,verb,,none,154
tricolore-2-5th-edition,ouvrir,to open,,,verb,,none,154
tricolore-2-5th-edition,parler,to speak,,,verb,,none,154
tricolore-2-5th-edition,parties du corps,parts of the body,les,,noun,,hobby,154
tricolore-2-5th-edition,pays et les continents,countries and continents,les,,noun,,travel,154
tricolore-2-5th-edition,penser,to think,,,verb,,none,154
tricolore-2-5th-edition,plats d'un repas,courses of a meal,les,,noun,,food,154
tricolore-2-5th-edition,poser une question,to ask a question,,,verb,,none,154
tricolore-2-5th-edition,quantités,quantities,les,,noun,,none,154
tricolore-2-5th-edition,ranger,"to tidy up, clear up, put away",,,verb,,none,154
tricolore-2-5th-edition,repas au restaurant,a meal in a restaurant,un,,noun,,restaurant,154
tricolore-2-5th-edition,routine journalière,daily routine,la,,noun,,daily-routine,154
tricolore-2-5th-edition,règle (f),ruler,,,noun,,school,154
tricolore-2-5th-edition,répondre,to reply,,,verb,,none,154
tricolore-2-5th-edition,répéter,to repeat,,,verb,,none,154
tricolore-2-5th-edition,sac de sports (m),sports bag,,,noun,,hobby,154
tricolore-2-5th-edition,sac à dos (m),backpack,,,noun,,none,154
tricolore-2-5th-edition,santé,health,la,,noun,,health,154
tricolore-2-5th-edition,savoir,to know,,,verb,,none,154
tricolore-2-5th-edition,souligner,to underline,,,verb,,none,154
tricolore-2-5th-edition,stylo à bille (m),ball-point pen,,,noun,,none,154
tricolore-2-5th-edition,surligneur (m),highlighter,,,noun,,none,154
tricolore-2-5th-edition,table (f),table,,,noun,,none,154
tricolore-2-5th-edition,tableau (m),board,,,noun,,none,154
tricolore-2-5th-edition,tableau interactif (m),interactive white board,,,noun,,none,154
tricolore-2-5th-edition,taille-crayon (m),pencil sharpener,,,noun,,school,154
tricolore-2-5th-edition,temps passé,expressions of past time,le,,noun,,time-dates,154
tricolore-2-5th-edition,tourner,to turn,,,verb,,none,154
tricolore-2-5th-edition,transports,means of transport,les,,noun,,travel,154
tricolore-2-5th-edition,travailler (en équipes),to work (in teams),,,verb,,none,154
tricolore-2-5th-edition,trousse (f),pencil case,,,noun,,school,154
tricolore-2-5th-edition,trouver,to find,,,verb,,none,154
tricolore-2-5th-edition,télévision (f),television,,,noun,,none,154
tricolore-2-5th-edition,vie au collège,school life,la,,noun,,school,154
tricolore-2-5th-edition,vérifier,to check,,,verb,,none,154
tricolore-2-5th-edition,vêtements,clothes,les,,noun,,shopping,154
tricolore-2-5th-edition,à la gare,at the station,,,phrase,,travel,154
tricolore-2-5th-edition,écouter,to listen,,,verb,,none,154
tricolore-2-5th-edition,écran (m),screen,,,noun,,communication,154
tricolore-2-5th-edition,écrire,to write,,,verb,,none,154
tricolore-2-5th-edition,aller en discothèque/boîte (f),to go to a disco/club,,,verb,,hobby,155
tricolore-2-5th-edition,animaux (m pl),"animals, pets",les,,noun,,none,155
tricolore-2-5th-edition,assez,quite,,,adverb,,none,155
tricolore-2-5th-edition,athlétisme (m),athletics,,,noun,,hobby,155
tricolore-2-5th-edition,auberge de jeunesse (f),youth hostel,,,noun,,vacation,155
tricolore-2-5th-edition,badminton (m),badminton,,,noun,,none,155
tricolore-2-5th-edition,banque (f),bank,,,noun,,city-places,155
tricolore-2-5th-edition,batterie (f),drums,,,noun,,hobby,155
tricolore-2-5th-edition,beau-frère (m),brother-in-law,,,noun,,family,155
tricolore-2-5th-edition,belle-sœur (f),sister-in-law,,,noun,,family,155
tricolore-2-5th-edition,bâtiments religieux (m pl),religious buildings,des,,noun,,none,155
tricolore-2-5th-edition,C'est amusant,It's fun,,,phrase,,none,155
tricolore-2-5th-edition,C'est difficile,It's difficult,,,phrase,,none,155
tricolore-2-5th-edition,C'est ennuyeux,It's boring,,,phrase,,none,155
tricolore-2-5th-edition,C'est facile,It's easy,,,phrase,,none,155
tricolore-2-5th-edition,C'est intéressant,It's interesting,,,phrase,,none,155
tricolore-2-5th-edition,C'est nul,"It's useless, rubbish",,,phrase,,none,155
tricolore-2-5th-edition,C'est super,It's great,,,phrase,,none,155
tricolore-2-5th-edition,C'est sympa,"It's nice, good",,,phrase,,none,155
tricolore-2-5th-edition,C'est utile,It's useful,,,phrase,,none,155
tricolore-2-5th-edition,camping (m),campsite,,,noun,,vacation,155
tricolore-2-5th-edition,cathédrale (f),cathedral,,,noun,,city-places,155
tricolore-2-5th-edition,centre-ville (m),town centre,,,noun,,city-places,155
tricolore-2-5th-edition,chambre (f),bedroom,,,noun,,home,155
tricolore-2-5th-edition,chat (m),cat,,,noun,,none,155
tricolore-2-5th-edition,chatte (f),female cat,,,noun,,none,155
tricolore-2-5th-edition,cheval (m),horse,,,noun,,none,155
tricolore-2-5th-edition,chien (m),dog,,,noun,,none,155
tricolore-2-5th-edition,cochon d'Inde (m),guinea pig,,,noun,,none,155
tricolore-2-5th-edition,collège (m),comprehensive school,,,noun,,school,155
tricolore-2-5th-edition,concert (m),concert,,,noun,,hobby,155
tricolore-2-5th-edition,cousin(e) (m/f),cousin,,,noun,,family,155
tricolore-2-5th-edition,cricket (m),cricket,,,noun,,hobby,155
tricolore-2-5th-edition,cuisine (f),kitchen,,,noun,,home,155
tricolore-2-5th-edition,cyclisme (m),cycling,,,noun,,hobby,155
tricolore-2-5th-edition,d'autres loisirs,other leisure activities,,,phrase,,hobby,155
tricolore-2-5th-edition,demi-frère (m),half-/stepbrother,,,noun,,none,155
tricolore-2-5th-edition,demi-sœur (f),half-/stepsister,,,noun,,none,155
tricolore-2-5th-edition,en automne (m),in autumn,,,phrase,,time-dates,155
tricolore-2-5th-edition,en hiver (m),in winter,,,phrase,,time-dates,155
tricolore-2-5th-edition,en ville,in town,,,phrase,,city-places,155
tricolore-2-5th-edition,en été (m),in summer,,,phrase,,time-dates,155
tricolore-2-5th-edition,est,east,l',,noun,,travel,155
tricolore-2-5th-edition,exposition (f),exhibition,,,noun,,hobby,155
tricolore-2-5th-edition,faire de la peinture,to do painting,,,verb,,hobby,155
tricolore-2-5th-edition,faire des photos,to take photos,,,verb,,hobby,155
tricolore-2-5th-edition,faire du dessin,to do drawing,,,verb,,hobby,155
tricolore-2-5th-edition,faire du théâtre,to do drama,,,verb,,hobby,155
tricolore-2-5th-edition,famille,the family,la,,noun,,family,155
tricolore-2-5th-edition,fenêtre (f),window,,,noun,,home,155
tricolore-2-5th-edition,feu d'artifice (m),firework display,,,noun,,hobby,155
tricolore-2-5th-edition,fille (unique) (f),(only) daughter,,,noun,,family,155
