collection,unit,section,content_type,activity_type,topic,level,status,qa,word_count,summary,title
netzwerk-a1-test-booklet,page-001,,[cover],,,A1,verified,pass,103,,Netzwerk neu
netzwerk-a1-test-booklet,page-002,,[intro],,,A1,verified,pass,194,,"Autorinnen: Karin Ransberger, Margret Rodi, Kirsten Althaus"
netzwerk-a1-test-booklet,page-003,,"[toc, intro]",,,A1,verified,pass,234,,Inhalt
netzwerk-a1-test-booklet,page-004,,"[intro, instructions]",,,A1,verified,pass,359,,Einleitung
netzwerk-a1-test-booklet,page-005,,[toc],,,A1,verified,pass,347,,Prüfungsaufgaben im Testheft
netzwerk-a1-test-booklet,page-006,,"[exercise, listening-sheet]",,,A1,verified,pass,298,,1 · Guten Tag!
netzwerk-a1-test-booklet,page-007,,[exercise],,,A1,verified,pass,174,,Guten Tag! 1
netzwerk-a1-test-booklet,page-008,,"[exercise, reading-text, writing-prompt, instructions]",,,A1,verified,pass,120,,1 Guten Tag!
netzwerk-a1-test-booklet,page-009,,"[chapter-opener, exercise, listening-sheet, vocabulary]",,,A1,verified,pass,290,,"Freunde, Kollegen und ich    2"
netzwerk-a1-test-booklet,page-010,,[exercise],,,A1,verified,pass,202,,"2 Freunde, Kollegen und ich"
netzwerk-a1-test-booklet,page-011,,"[exercise, writing-prompt, speaking-prompt]",,,A1,verified,pass,152,,"Freunde, Kollegen und ich&emsp;&emsp;2"
netzwerk-a1-test-booklet,page-012,,"[chapter-opener, listening-sheet, exercise, reading-text]",,,A1,verified,pass,283,,3 In Hamburg
netzwerk-a1-test-booklet,page-013,,[exercise],,,A1,verified,pass,278,,In Hamburg  3
netzwerk-a1-test-booklet,page-014,,"[exercise, vocabulary, speaking-prompt]",,,A1,verified,pass,116,,3 In Hamburg
netzwerk-a1-test-booklet,page-015,hoeren,"[chapter-opener, exercise, listening-sheet, vocabulary, grammar-box]",,,A1,verified,pass,297,,Guten Appetit!    4
netzwerk-a1-test-booklet,page-016,lesen,"[reading-text, exercise]",,,A1,verified,pass,430,,4  Guten Appetit!
netzwerk-a1-test-booklet,page-017,,"[exercise, writing-prompt, speaking-prompt]",,,A1,verified,pass,240,,Guten Appetit! 4
netzwerk-a1-test-booklet,page-018,hoeren,"[chapter-opener, exercise, listening-sheet]",,,A1,verified,pass,243,,5 Alltag und Familie
netzwerk-a1-test-booklet,page-019,,"[exercise, review, grammar-box]",,,A1,verified,pass,345,,Alltag und Familie · 5
netzwerk-a1-test-booklet,page-020,,"[exercise, reading-text, writing-prompt, speaking-prompt]",,,A1,verified,pass,410,,5 Alltag und Familie
netzwerk-a1-test-booklet,page-021,,"[chapter-opener, listening-sheet, exercise, vocabulary, review]",,,A1,verified,pass,375,,6 · Zeit mit Freunden
netzwerk-a1-test-booklet,page-022,lesen,"[exercise, reading-text, dialogue]",,,A1,verified,pass,380,,6 · Zeit mit Freunden
netzwerk-a1-test-booklet,page-023,schreiben,"[exercise, writing-prompt, speaking-prompt, picture-story]",,,A1,verified,pass,190,,Zeit mit Freunden 6
netzwerk-a1-test-booklet,page-024,,"[chapter-opener, exercise, listening-sheet, review]",,,A1,verified,pass,331,,7 Arbeitsalltag
netzwerk-a1-test-booklet,page-025,lesen,"[exercise, reading-text]",,,A1,verified,pass,419,,Arbeitsalltag &nbsp; 7
netzwerk-a1-test-booklet,page-026,schreiben,"[exercise, reading-text, writing-prompt]",,,A1,verified,pass,182,,7 Arbeitsalltag
netzwerk-a1-test-booklet,page-027,schreiben,"[exercise, writing-prompt, speaking-prompt]",,,A1,verified,pass,222,,Arbeitsalltag  7
netzwerk-a1-test-booklet,page-028,,"[chapter-opener, exercise, listening-sheet, vocabulary, review]",,,A1,verified,pass,282,,8 Fit und gesund
netzwerk-a1-test-booklet,page-029,,[exercise],,,A1,verified,pass,219,,Fit und gesund
netzwerk-a1-test-booklet,page-030,,"[exercise, reading-text, writing-prompt, speaking-prompt, review]",,,A1,verified,pass,371,,8 Fit und gesund
netzwerk-a1-test-booklet,page-031,hoeren,"[listening-sheet, exercise]",,,A1,verified,pass,317,,<!-- top-right chapter banner -- Meine Wohnung — 9
netzwerk-a1-test-booklet,page-032,lesen,"[exercise, reading-text, dialogue]",,,A1,verified,pass,508,,9 Meine Wohnung
netzwerk-a1-test-booklet,page-033,schreiben,"[exercise, writing-prompt, speaking-prompt, reading-text]",,,A1,verified,pass,316,,Meine Wohnung   9
netzwerk-a1-test-booklet,page-034,,"[chapter-opener, listening-sheet, exercise, grammar-box]",,,A1,verified,pass,378,,10  Studium und Beruf
netzwerk-a1-test-booklet,page-035,schreiben,"[exercise, writing-prompt]",,,A1,verified,pass,359,,Studium und Beruf — 10
netzwerk-a1-test-booklet,page-036,,"[exercise, instructions, reading-text, speaking-prompt]",,,A1,verified,pass,401,,10 Studium und Beruf
netzwerk-a1-test-booklet,page-037,hoeren,"[exercise, listening-sheet]",,,A1,verified,pass,218,,11 · Die Jacke gefällt mir!
netzwerk-a1-test-booklet,page-038,,"[exercise, review, reading-text]",,,A1,verified,pass,337,,11 Die Jacke gefällt mir!
netzwerk-a1-test-booklet,page-039,lesen,"[exercise, reading-text]",,,A1,verified,pass,257,,11 · Die Jacke gefällt mir!
netzwerk-a1-test-booklet,page-040,,"[writing-prompt, speaking-prompt, review]",,,A1,verified,pass,277,,11 Die Jacke gefällt mir!
netzwerk-a1-test-booklet,page-041,,"[exercise, listening-sheet, reading-text, writing-prompt]",,,A1,verified,pass,442,,Ab in den Urlaub! 12
netzwerk-a1-test-booklet,page-042,lesen,"[exercise, reading-text]",,,A1,verified,pass,306,,12 Ab in den Urlaub!
netzwerk-a1-test-booklet,page-043,,"[writing-prompt, speaking-prompt, exercise, instructions, picture-story]",,,A1,verified,pass,204,,Ab in den Urlaub!	12
netzwerk-a1-test-booklet,page-044,hoeren,"[audio-script, dialogue]",,,A1,verified,pass,453,,T   Transkripte
netzwerk-a1-test-booklet,page-045,hoeren,"[audio-script, dialogue]",,,A1,verified,pass,651,,Transkripte
netzwerk-a1-test-booklet,page-046,hoeren,"[audio-script, listening-sheet]",,,A1,verified,pass,743,,T Transkripte
netzwerk-a1-test-booklet,page-047,hoeren,[audio-script],,,A1,verified,pass,687,,Transkripte
netzwerk-a1-test-booklet,page-048,hoeren,[audio-script],,,A1,verified,pass,631,,T Transkripte
netzwerk-a1-test-booklet,page-049,answer-key,[answer-key],,,A1,verified,pass,455,,Lösungen  L
netzwerk-a1-test-booklet,page-050,answer-key,[answer-key],,,A1,verified,pass,534,,L Lösungen
netzwerk-a1-test-booklet,page-051,answer-key,[answer-key],,,A1,verified,pass,508,,Lösungen · L
netzwerk-a1-test-booklet,page-052,answer-key,[answer-key],,,A1,verified,pass,490,,L — Lösungen
netzwerk-a1-test-booklet,page-053,answer-key,[answer-key],,,A1,verified,pass,574,,Lösungen
netzwerk-a1-test-booklet,page-054,,[instructions],,,A1,verified,pass,447,,Bewertung und Benotung
netzwerk-a1-test-booklet,page-055,,[instructions],,,A1,verified,pass,484,,Bewertung und Benotung
netzwerk-a1-test-booklet,page-056,,[toc],,,A1,verified,pass,311,,Quellenverzeichnis
netzwerk-a1-kursbuch,page-001,,[cover],,,A1,verified,pass,22,,Netzwerk neu
