collection,section,part,item,item_type,question,option_a,option_b,option_c,correct_answer,level,topic,source_page
goyal-a1-young-learners,vocabulary,Übung 1,1,multiple-choice,Was ist richtig? Kreuz an.,Gruß dich!,Grüß dich!,Grüß dick!,Grüß dich!,A1,communication,007
goyal-a1-young-learners,vocabulary,Übung 2,1,ordering,Welche Begrüßung steckt dahinter? Bringe die Buchstaben in die richtige Reihenfolge: TUENG GAT!,,,,Guten Tag,A1,communication,007
goyal-a1-young-learners,vocabulary,Übung 1,2,multiple-choice,Was ist richtig? Kreuz an.,Hello!,Hallo!,Hallow!,Hallo!,A1,communication,007
goyal-a1-young-learners,vocabulary,Übung 2,2,ordering,Welche Begrüßung steckt dahinter? Bringe die Buchstaben in die richtige Reihenfolge: OLLAH!,,,,Hallo,A1,communication,007
goyal-a1-young-learners,vocabulary,Übung 1,3,multiple-choice,Was ist richtig? Kreuz an.,Tscüs!,Tschusz!,Tschüs!,Tschüs!,A1,communication,007
goyal-a1-young-learners,vocabulary,Übung 2,3,ordering,Welche Begrüßung steckt dahinter? Bringe die Buchstaben in die richtige Reihenfolge: UAF DERWIESEHNE!,,,,Auf Wiedersehen,A1,communication,007
goyal-a1-young-learners,vocabulary,Übung 1,4,multiple-choice,Was ist richtig? Kreuz an.,Guten Tag!,Guden Tag!,Gooden Tag!,Guten Tag!,A1,communication,007
goyal-a1-young-learners,vocabulary,Übung 2,4,ordering,Welche Begrüßung steckt dahinter? Bringe die Buchstaben in die richtige Reihenfolge: CHÜSST!,,,,Tschüs,A1,communication,007
goyal-a1-young-learners,vocabulary,Übung 1,5,multiple-choice,Was ist richtig? Kreuz an.,Auf Wien!,Auf wieder Sehen!,Auf Wiedersehen!,Auf Wiedersehen!,A1,communication,007
goyal-a1-young-learners,vocabulary,Übung 2,5,ordering,Welche Begrüßung steckt dahinter? Bringe die Buchstaben in die richtige Reihenfolge: RÜßG CHID!,,,,Grüß dich,A1,communication,007
goyal-a1-young-learners,writing,Übung 3,1,short-answer,Wie begrüßt du diese Personen? Wie verabschiedest du diese Personen? — Deine Freundin Lisa,,,,,A1,communication,008
goyal-a1-young-learners,vocabulary,Übung 4,1,fill-in,Wie begrüßt man sich im Verlauf des Tages? — 06:30,,,,Guten Morgen!,A1,communication,008
