slug	url	status	qa	content_hash	updated_at
dtz	https://deutsch-pruefung.de/dtz	verified	pass	2d32eab75ee30da5	2026-07-21T08:27:27.952Z
dtz--hoeren	https://deutsch-pruefung.de/dtz/hoeren	verified	pass	87ecce5c648ce882	2026-07-21T08:27:29.734Z
dtz--lesen	https://deutsch-pruefung.de/dtz/lesen	verified	pass	3a2fc104fb45cd0b	2026-07-21T08:27:31.038Z
blog	https://deutsch-pruefung.de/blog	verified	pass	5757e31a26eab7a3	2026-07-21T08:27:25.362Z
mock-test	https://deutsch-pruefung.de/mock-test	verified	pass	b49b806b72c2dee7	2026-07-21T08:27:26.482Z
dtz--schreiben	https://deutsch-pruefung.de/dtz/schreiben	verified	pass	e684fcc77cf70122	2026-07-21T08:27:32.650Z
dtz--sprechen	https://deutsch-pruefung.de/dtz/sprechen	verified	pass	8c08f1c37f4819a6	2026-07-21T08:27:34.091Z
dtz--hoeren--teil1	https://deutsch-pruefung.de/dtz/hoeren/teil1	verified	pass	85a697b7dd8c31e9	2026-07-21T08:27:35.640Z
dtz--hoeren--teil2	https://deutsch-pruefung.de/dtz/hoeren/teil2	verified	pass	85a697b7dd8c31e9	2026-07-21T08:27:37.232Z
dtz--hoeren--teil3	https://deutsch-pruefung.de/dtz/hoeren/teil3	verified	pass	85a697b7dd8c31e9	2026-07-21T08:27:38.527Z
dtz--hoeren--teil4	https://deutsch-pruefung.de/dtz/hoeren/teil4	verified	pass	85a697b7dd8c31e9	2026-07-21T08:27:40.044Z
dtz--lesen--teil1	https://deutsch-pruefung.de/dtz/lesen/teil1	verified	pass	85a697b7dd8c31e9	2026-07-21T08:27:41.545Z
dtz--lesen--teil2	https://deutsch-pruefung.de/dtz/lesen/teil2	verified	pass	85a697b7dd8c31e9	2026-07-21T08:27:43.285Z
dtz--lesen--teil3	https://deutsch-pruefung.de/dtz/lesen/teil3	verified	pass	85a697b7dd8c31e9	2026-07-21T08:27:44.572Z
dtz--lesen--teil4	https://deutsch-pruefung.de/dtz/lesen/teil4	verified	pass	85a697b7dd8c31e9	2026-07-21T08:27:46.074Z
dtz--lesen--teil5	https://deutsch-pruefung.de/dtz/lesen/teil5	verified	pass	85a697b7dd8c31e9	2026-07-21T08:27:47.638Z
dtz--schreiben--teil1	https://deutsch-pruefung.de/dtz/schreiben/teil1	verified	pass	85a697b7dd8c31e9	2026-07-21T08:27:49.149Z
dtz--sprechen--teil1	https://deutsch-pruefung.de/dtz/sprechen/teil1	verified	pass	85a697b7dd8c31e9	2026-07-21T08:27:50.736Z
dtz--sprechen--teil2	https://deutsch-pruefung.de/dtz/sprechen/teil2	verified	pass	85a697b7dd8c31e9	2026-07-21T08:27:52.109Z
dtz--sprechen--teil3	https://deutsch-pruefung.de/dtz/sprechen/teil3	verified	pass	85a697b7dd8c31e9	2026-07-21T08:27:53.663Z
testdaf	https://deutsch-pruefung.de/testdaf	verified	pass	b22310fd7412f7a6	2026-07-21T08:27:55.231Z
testdaf--paper	https://deutsch-pruefung.de/testdaf/paper	verified	pass	0c1233cd66256876	2026-07-21T08:27:56.808Z
testdaf--paper--hoeren	https://deutsch-pruefung.de/testdaf/paper/hoeren	verified	pass	5399ca10e7560a9c	2026-07-21T08:27:58.341Z
testdaf--paper--hoeren--teil1	https://deutsch-pruefung.de/testdaf/paper/hoeren/teil1	verified	pass	85a697b7dd8c31e9	2026-07-21T08:27:59.699Z
testdaf--paper--hoeren--teil2	https://deutsch-pruefung.de/testdaf/paper/hoeren/teil2	verified	pass	85a697b7dd8c31e9	2026-07-21T08:28:01.394Z
testdaf--paper--hoeren--teil3	https://deutsch-pruefung.de/testdaf/paper/hoeren/teil3	verified	pass	85a697b7dd8c31e9	2026-07-21T08:28:02.730Z
testdaf--paper--lesen	https://deutsch-pruefung.de/testdaf/paper/lesen	verified	pass	861b098e98bd1933	2026-07-21T08:28:04.363Z
testdaf--paper--lesen--teil1	https://deutsch-pruefung.de/testdaf/paper/lesen/teil1	verified	pass	85a697b7dd8c31e9	2026-07-21T08:28:07.120Z
testdaf--paper--lesen--teil2	https://deutsch-pruefung.de/testdaf/paper/lesen/teil2	verified	pass	85a697b7dd8c31e9	2026-07-21T08:28:08.044Z
testdaf--paper--lesen--teil3	https://deutsch-pruefung.de/testdaf/paper/lesen/teil3	verified	pass	85a697b7dd8c31e9	2026-07-21T08:28:09.279Z
testdaf--paper--schreiben	https://deutsch-pruefung.de/testdaf/paper/schreiben	verified	pass	1f3ece7a43ed698d	2026-07-21T08:28:10.714Z
testdaf--paper--schreiben--teil1	https://deutsch-pruefung.de/testdaf/paper/schreiben/teil1	verified	pass	85a697b7dd8c31e9	2026-07-21T08:28:12.140Z
