collection,section,part,item,item_type,instruction,question,option_a,option_b,option_c,option_d,option_e,correct_answer,level,topic,source_page
goethe-a1-sd1-exam-training-3,listening,1,0,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Welche Zimmernummer hat Herr Schneider?,Zimmer 2.,Zimmer 245.,Zimmer 254.,,,c,A1,home,008
goethe-a1-sd1-exam-training-3,listening,1,1,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wo wollen die Freundinnen die Party machen?,Im Garten.,Im Haus.,Am See.,,,a,A1,hobby,009
goethe-a1-sd1-exam-training-3,listening,1,2,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wann wollen sie sich treffen?,Um 19.30 Uhr.,Um 20.30 Uhr.,Um 21.00 Uhr.,,,b,A1,time-dates,009
goethe-a1-sd1-exam-training-3,listening,1,3,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wo stehen Taxis?,An der Ecke rechts.,Die Straße geradeaus.,Geradeaus und links.,,,c,A1,city-places,009
goethe-a1-sd1-exam-training-3,listening,1,4,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wie lange dauern die Sommerkurse?,Zwei Wochen.,Drei Wochen.,Vier Wochen.,,,a,A1,school,010
goethe-a1-sd1-exam-training-3,listening,1,5,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Was soll Johanna mitbringen?,Salat.,Saft.,Karten.,,,c,A1,hobby,010
goethe-a1-sd1-exam-training-3,listening,1,6,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wann ist Frau Horn aus dem Urlaub zurück?,Am Mittwoch.,Am Freitag.,Am Montag.,,,c,A1,vacation,010
goethe-a1-sd1-exam-training-3,listening,2,0,true-false,Kreuzen Sie an: Richtig oder Falsch. Sie hören jeden Text einmal.,Frau Gundlach soll zur Information in Halle C kommen.,Richtig,Falsch,,,,Richtig,A1,travel,011
goethe-a1-sd1-exam-training-3,listening,2,7,true-false,Kreuzen Sie an: Richtig oder Falsch. Sie hören jeden Text einmal.,Die Fahrgäste sollen den Bus nehmen.,Richtig,Falsch,,,,Richtig,A1,travel,011
goethe-a1-sd1-exam-training-3,listening,2,8,true-false,Kreuzen Sie an: Richtig oder Falsch. Sie hören jeden Text einmal.,Die Kunden sollen in den zweiten Stock kommen.,Richtig,Falsch,,,,Falsch,A1,shopping,011
goethe-a1-sd1-exam-training-3,listening,2,9,true-false,Kreuzen Sie an: Richtig oder Falsch. Sie hören jeden Text einmal.,Die Leute sollen zu Hause bleiben.,Richtig,Falsch,,,,Richtig,A1,home,011
goethe-a1-sd1-exam-training-3,listening,2,10,true-false,Kreuzen Sie an: Richtig oder Falsch. Sie hören jeden Text einmal.,Fahrgäste nach Innsbruck sollen mit dem ICE 346 fahren.,Richtig,Falsch,,,,Richtig,A1,travel,011
