collection,section,part,item,item_type,instruction,question,option_a,option_b,option_c,option_d,option_e,correct_answer,level,topic,source_page
cosmopolite-a1-methode,speaking,,1a,open-ended,En petits groupes. Observez le document.,Quels mots français vous connaissez ?,,,,,,,A1,communication,011
cosmopolite-a1-methode,speaking,,1b,matching,En petits groupes. Observez le document.,"Associez les langues aux dessins : l'anglais, l'allemand, l'espagnol, le français, le portugais, le polonais.",,,,,,,A1,communication,011
cosmopolite-a1-methode,speaking,,1c,open-ended,En petits groupes. Observez le document.,"Et dans votre langue, comment vous saluez au téléphone ?",,,,,,,A1,communication,011
cosmopolite-a1-methode,listening,,2,matching,Par deux. Écoutez. Associez les dialogues aux photos.,Par deux. Écoutez. Associez les dialogues aux photos.,,,,,,,A1,personal-info,012
cosmopolite-a1-methode,speaking,À NOUS !,3,speaking-task,Nous faisons connaissance. En petits groupes.,Nous faisons connaissance. En petits groupes. Dites bonjour et donnez votre prénom. Associez un geste à votre prénom. Demandez son prénom à un(e) étudiant(e). L'étudiant(e) dit bonjour et répète votre geste. Il/Elle associe un geste à son prénom.,,,,,,(open-ended),A1,personal-info,012
cosmopolite-a1-methode,listening,,1a,multiple-choice,Écoutez. Choisissez la réponse correcte.,Écoutez. Choisissez la réponse correcte. C'est…,une interview.,un dialogue.,une chanson.,,,,A1,communication,013
cosmopolite-a1-methode,listening,,1b,speaking-task,Réécoutez. Répétez l'alphabet.,Réécoutez. Répétez l'alphabet.,,,,,,(open-ended),A1,communication,013
cosmopolite-a1-methode,listening,,2,matching,Par deux. Associez chaque lettre de l'alphabet à sa prononciation en français.,Par deux. Associez chaque lettre de l'alphabet à sa prononciation en français.,,,,,,,A1,communication,013
cosmopolite-a1-methode,listening,Sons du français,3a,speaking-task,Écoutez et répétez.,Écoutez et répétez.,,,,,,(open-ended),A1,communication,014
cosmopolite-a1-methode,speaking,Sons du français,3b-1,matching,"En petits groupes. Associez un geste à chaque son voyelle : [a], [e], [ε], [i], [y], [o], [ə].","En petits groupes. Associez un geste à chaque son voyelle : [a], [e], [ɛ], [i], [y], [o], [ə].",,,,,,,A1,communication,014
cosmopolite-a1-methode,speaking,Sons du français,3b-2,speaking-task,En petits groupes. Présentez vos gestes à la classe.,Présentez vos gestes à la classe.,,,,,,(open-ended),A1,communication,014
